Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,58.2146248812915,58.2605765401464,58.2758937597647,58.2789572036884,58.2789572036884,58.2789572036884,58.2789572036884,58.282020647612,58.282020647612,58.2804889256502,58.2804889256502,58.2866158134975,58.2881475354594,58.2881475354594,58.2881475354594,58.2881475354594,58.2881475354594,58.2743620378029,58.2667034279937,58.2667034279937,58.2667034279937,58.2513862083755,58.2513862083755,58.1043409000398,57.9190025426585,57.8270992249487,57.8255675029869,57.8837729375364,58.0017155285973,57.8270992249487,57.8270992249487,57.8270992249487,57.8270992249487,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,,,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,44.8905109489051,43.7956204379562,42.8467153284672,41.8248175182482,40.9489051094891,39.4160583941606,39.2335766423358,40.4744525547445,40.6569343065693,40.7664233576642,40.8029197080292,40.7299270072993,40.6569343065693,40.5109489051095,40.6204379562044,40.5839416058394,40.5474452554745,40.5474452554745,40.7664233576642,40.5109489051095,40.9124087591241,41.1313868613139,41.1313868613139,41.0948905109489,41.0948905109489,41.1313868613139,41.2773722627737,41.4233576642336,41.5693430656934,41.7883211678832,41.7518248175182,41.5693430656934,41.6058394160584,40.9124087591241,40.9489051094891,39.3065693430657,40.8759124087591,40.8394160583942,43.1021897810219,43.8430656934307,43.8430656934307,43.8321167883212,43.8430656934307,43.3321167883212,42.857299270073,42.8576642335766,,,,
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,18.5645788373206,19.0755498081235,19.0600149470555,18.6015266149958,18.614962170514,18.3701831434162,18.4827059208814,18.4033521711018,18.4079706433112,18.3983138377825,18.4025124488819,16.4463795376489,16.4195084266125,16.4929841208528,16.6306985649147,16.3959962044556,16.2435866215456,16.2817939825506,16.2977487047285,16.2738166214616,16.2385482882263,16.2158757882892,16.3179020380058,16.316642454676,16.6432943982131,16.6470731482026,16.6416149537733,16.6642874537103,16.7213885646628,16.6815017592181,16.8032614811021,16.8402092587772,16.7335645368512,16.7548514951254,17.27518536868,17.3028962019364,17.2903003686381,17.3201105074441,17.344042590711,17.3738527295171,17.3713335628574,17.3772116183966,17.381490003107,17.3955343572346,17.3952656461243,17.4059301183169,,,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17.5,20,20,23.5,23.95,24,22.5,22.5,25.2,25,25,25,24,24,24.5,24.5,24.5,24.5,24.5,24.5,24.5,,,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,55.3191489361702,53.1914893617021,53.1914893617021,51.063829787234,51.063829787234,51.063829787234,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.4042553191489,48.6170212765957,48.6382978723404,48.531914893617,46.3829787234043,46.3404255319149,44.1914893617021,44.1702127659574,44.1914893617021,42.063829787234,42.063829787234,39.9148936170213,40.0212765957447,40.0212765957447,40.0212765957447,,,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0447581615465,46.0816555707067,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.0415496911847,45.9613379321409,45.9613379321409,46.0335285152803,46.1939520333681,46.1939520333681,46.1939520333681,46.1939520333681,46.274163792412,46.274163792412,46.7554343466752,46.8356461057191,47.3169166599824,47.3169166599824,47.4773401780701,47.4773401780701,47.4773401780701,,,,
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,25,25,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,15.9090909090909,18.1818181818182,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,,,,
Arab League states,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,31.204347670671,31.3994441145943,31.4467869311219,31.4421816632145,31.494736013845,31.4722756349443,31.5409779704053,31.561823550823,31.6044689107619,31.6154055004881,31.6943104263648,31.3887171534391,31.4129200467029,31.459705162753,31.8712306841659,32.3689145126417,32.9511227657153,33.5053069251147,34.0963965698451,34.6160534016794,35.0274893751765,35.117932770214,35.2790364012478,39.2263335665246,39.3704908194804,39.4711953770442,39.5533635432326,39.5498741156331,39.5869924062745,39.6014433634852,39.6021553417712,39.6368661182085,39.7270011012175,39.906557854395,39.9599789222128,40.0593416051623,40.0781795743962,40.1235005131786,40.0634208022786,37.5069704599619,37.3833958220016,35.0597302422775,35.087579399814,35.1659435281705,35.2040052822718,35.2106455630297,,,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,47.2395485056766,47.1935074853199,47.1474664649632,47.1014254446064,47.0553844242497,47.009343403893,46.9633023835363,46.9172613631796,46.8712203428229,46.8251793224662,46.7791383021095,46.7330972817528,47.0528265897855,47.0071509743522,46.9607445490721,46.9147035287153,46.8686625083586,46.7495405033087,46.5452791510913,46.5781655942032,46.6128790619325,46.6475925296617,46.682305997391,46.7170194651203,46.7528291476199,46.7882734251961,46.8237177027723,46.8577003606547,46.8924138283839,46.9223770321081,46.9581867146078,46.9932655872605,47.031267699301,47.8254753004542,49.0903244430315,50.3518849412977,51.5600963207378,52.6303673415696,52.7136796641198,52.5423047550143,53.8902835176801,54.1826074564529,54.5381464469852,54.5180491761946,54.3357121193851,54.3357121193851,,,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,41.0958904109589,41.4822620302072,42.1496311907271,43.6951176677204,45.8728486125746,46.7860906217071,46.6455918510713,46.4699683877766,46.4699683877766,46.6455918510713,48.8584474885845,50.7200561995083,52.8626624517035,56.3751317175975,61.6930101861609,61.5349490691956,61.4260625219529,61.3382507903056,60.9413417632596,59.6452406041447,59.1148577449947,59.0832455216017,59.0477695820162,58.8840885142255,,,,
