Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7518191666.48502,7759066711.85768,7720074659.71205,8772154048.93295,9071406032.98304,10375465090.7687,10968623838.9918,12962793894.7274,14026799906.6038,15517854927.8798,17976392202.4621,18362001144.8462,17940808400.7045,18321837979.7025,18429410854.9295,,,
Albania,ALB,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,6223262177.84555,4879384799.77292,5046819033.58228,5876768322.89795,6498765191.77757,6859192550.20479,6907770773.30091,7449427031.69968,7841816662.21642,8397768086.70827,9125603937.75828,9522044245.86062,9469504765.60376,9589970053.63506,10283121514.6165,10663071472.7527,10612683529.4883,10549518061.0944,10709888005.2589,11015001742.2361,11128786690.9797,,,
Algeria,DZA,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,20912075473.3356,21634019031.4855,26382366718.1412,28114499321.932,36363196797.2448,36141710953.4213,38936088814.4286,40449307941.4668,43448890264.0817,43261387577.6181,50671842749.176,60676909990.7924,62687966642.7938,66754414825.8622,67572688621.1597,69537434146.225,63498108915.3106,59521647949.6046,57464547863.8629,58819856627.7652,60710296865.1968,62142386259.708,62805662482.5269,58189686976.5035,57578209211.3021,58773491633.1244,61356369649.4952,64787461040.9639,64489064509.3461,67352296252.6854,82214859241.1065,82944764361.6491,85481893209.1071,93877262982.9232,97965143037.8196,109310998400.024,116746379347.388,122228718068.892,126543875614.186,114970839610.27,131623938930.712,134045642538.201,141941964855.6,142539602703.548,144061316520.055,139639623076.679,139068039932.813,,,
American Samoa,ASM,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-550770450.822752,2604169196.1421,5887955506.32498,7102463787.58083,6772902172.49042,6054728684.03617,10834402078.5464,13070752274.2284,4962866222.90778,16509964702.5342,25594840086.8937,27136692678.5965,34894548043.8004,41848521481.8139,46340529535.6444,56476277887.4803,59273454529.4372,,,
Antigua and Barbuda,ATG,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab League states,ARB,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006174844489.19,1042470740534.69,1090685747593.67,1183385347343.28,1277745561016.11,1435940034782.43,1552046912042.39,1700650974902.06,1584476922289.42,1705338052154.3,1908056491389.52,2017934282953.81,2082427372489.7,2108856452848.48,1985741316545.18,1963677735931.32,,,
Argentina,ARG,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,144517789029.227,159750965361.735,158729354622.953,168107186861.093,174097839754.702,174396317746.26,170512364485.635,179375325293.379,170215194391.026,181657774302.903,188764594335.204,176470696397.196,163113648952.434,170562332321.421,174104298848.395,162187215213.358,176670400111.76,178761254586.742,177839929914.891,155136962749.829,156436320635.446,181048472329.706,207847871610.906,220267202039.513,232779004014.011,224246447047.315,237430690291.218,250499124596.737,258968254348.985,245061825747.341,244664266456.839,231283841927.948,192090885412.323,215141011780.964,238065998240.038,262748660114.453,288401041493.645,323231194042.034,342362312100.368,321820794881.827,360791151123.853,395948191274.389,393551629266.386,401794801452.72,386427332852.982,394903873972.761,386325886478.105,,,
Armenia,ARM,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754797900.74651,4208813887.94054,4800702614.83096,5539221051.19882,6165326337.8359,7203633850.46697,8226810313.7003,9436958592.95211,9997702789.26413,8148849270.96047,8396311554.25457,8598325601.96208,9179261116.89641,9504376711.88089,9574014918.82946,9326844056.74766,9115375526.57586,,,
