Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,51.003228706629,50.9564478195971,50.9129591807224,50.8748462315889,50.844882145829,50.8245646641695,50.8132790947379,50.8100876240106,50.815071768347,50.8287442287527,50.8512140208623,50.8862677337046,50.9345160693469,50.989198797766,51.0387214601866,51.0740297951643,51.0841052971022,51.0731122982082,51.0646959019924,51.0917489583631,51.170782542249,51.3042707985487,51.4652009674119,51.6132188591,51.7129500783202,51.7520090159145,51.7288279495058,51.6600080145371,51.5746337230809,51.5111846023062,51.4935402605196,51.5297361371322,51.601986958735,51.6798807120028,51.728692220203,51.7304915248802,51.6807393992034,51.5938267384544,51.4943135747929,51.4146009354482,51.3752308600541,51.381076383834,51.4197547333438,51.4735046921857,51.519989562251,51.5454421553111,51.5478014834187,51.533490647911,51.5085391652292,51.4814668494182
Albania,ALB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,51.4884457771997,51.4811472800486,51.4708394395543,51.4590435286776,51.4487770047726,51.4420038254367,51.4393352843692,51.4390122138805,51.4393752345106,51.436973305248,51.4299119552119,51.4125398810597,51.3842803592716,51.3554900839893,51.3385764356784,51.3390348729153,51.3730342827792,51.4294373589745,51.4587437356626,51.3995623390274,51.2162603627906,50.8752277943099,50.3973041946065,49.8720678358694,49.443147628844,49.2234411931044,49.2717065909414,49.5445085778264,49.9381716463354,50.3022070696972,50.5331097561952,50.6005953109177,50.5409525702661,50.3994682114592,50.2489226051166,50.1434797575978,50.0917058132515,50.0762422728432,50.0920230428641,50.1282304002247,50.174680166787,50.2334903831074,50.3073085917982,50.3834911742901,50.4465251700233,50.4854013574818,50.4951567586335,50.4795788647436,50.4464880578119,50.4091140043486
Algeria,DZA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,50.272219332576,50.2869799376408,50.3013313570602,50.3150035910833,50.3279535888092,50.3402037595792,50.3517694988911,50.3628396403339,50.3735407487793,50.3841263113277,50.3949379352956,50.4052438490386,50.4153151936814,50.4275003643723,50.4445355100406,50.4677696843022,50.4978534527169,50.5328208522081,50.5683285105963,50.599002204083,50.6215583762334,50.6348003783337,50.6404909793757,50.6419289192419,50.6435365845532,50.648029945167,50.656393104514,50.6669288555909,50.676540479608,50.6810267283537,50.6776706785865,50.66612438002,50.6479942701112,50.6251036731983,50.600008887915,50.5748152301298,50.5496920102973,50.5248779222644,50.5026201409495,50.4855033869703,50.475057327249,50.4719841460367,50.4752095700118,50.4822626186368,50.4898971731106,50.4958588121434,50.4996213495373,50.5017577264112,50.5026488252634,50.5029579525207
American Samoa,ASM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,48.7054009926238,48.7196532426078,48.7347128163148,48.7505011707954,48.7671886437048,48.7848639363913,48.8034358195554,48.8224498096235,48.8404810517868,48.8557974921313,48.8674067641257,48.8749259965625,48.8789936370223,48.8809371409492,48.882490113662,48.8846168528836,48.8878120684649,48.8915177362065,48.894585739542,48.8955315649618,48.8935776441188,48.8884088082268,48.8811176570515,48.8731345677658,48.8661938449563,48.8614120550929,48.8591317848866,48.8588556307598,48.8600144991847,48.8616104722269,48.8631020123508,48.8645559184814,48.8663120094365,48.8687561077293,48.8722960683776,48.8772557301768,48.8833825764281,48.8906702497928,48.8995664591122,48.9106053200817,48.9240075922401,48.9397206796388,48.9571807246458,48.9752923474889,48.9928465229533,49.0089899234019,49.0236287015016,49.0369637443496,49.0492459203819,49.0608009767341
Antigua and Barbuda,ATG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,47.7756747492511,47.7886617590991,47.7854231113938,47.78351839694,47.8306266138022,47.9256559563208,48.0778009877295,48.2813036020583,48.4982404452083,48.6801126086306,48.7949346405229,48.8346950226492,48.8069114947764,48.7331965325181,48.6424955456885,48.5645487250785,48.4922030548329,48.4157160963245,48.3609246830723,48.3339337175792,48.3537737263486,48.4346908755925,48.5670860917474,48.6825362785045,48.7080085342556,48.6034885616476,48.3412008938607,47.9675842552097,47.5792110206637,47.2751044746939,47.1251166463283,47.1478285405253,47.3093598571793,47.5461106655974,47.7699716713881,47.9329120731379,47.9984496982448,48.0144443836516,47.9871105872685,47.950753972919,47.9293003993492,47.9255691494363,47.9352678571429,47.9545315151391,47.9645605979388,47.9755018713848,47.9918783736939,48.0007058062366,48.0112175288444,48.0228648285138
Arab League states,ARB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,50.3880474159843,50.4013940597124,50.4177314357626,50.4399351781838,50.4713484962559,50.5132256370026,50.5665167682765,50.6279431073718,50.6896755694729,50.7425435810193,50.7813839173188,50.8045970604121,50.8159021440994,50.8219134118217,50.8310005333881,50.8482815083681,50.874083505972,50.9054963900293,50.9400946932439,50.9745553614404,51.0028808883156,51.0334961795806,51.0130691363572,51.0397046516627,51.0532916230275,51.0947053540382,51.0744166208226,51.0421280147665,51.0086480044766,50.9874287289761,50.9873260038983,51.0095900122871,51.0503055373176,51.1061234156625,51.1720206137521,51.2437028622697,51.3207154593448,51.4017936946084,51.4812183036555,51.5525761768962,51.6118535262373,51.6572145642143,51.6902310110665,51.7145459545838,51.7351983193527,51.7553555544502,51.776171918545,51.7959676111349,51.8118886419649,51.8199177787416
Argentina,ARG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,50.1481725180869,50.1028258370405,50.0640460503712,50.0222976777258,49.9653336945804,49.8859802489549,49.7806467334309,49.6555377350744,49.5248653645892,49.4075553039108,49.316287367127,49.2550248972003,49.2182878621204,49.1977250520629,49.1813250879519,49.1609191245442,49.1345710956744,49.1052201910473,49.0754624889124,49.0493500732514,49.0294286166212,49.0160875895609,49.0075338832204,49.0016378041083,48.9954544975774,48.9871243222354,48.975878577323,48.9626019772294,48.9487961207,48.9366546364726,48.9276043298283,48.9220395316932,48.9192855052939,48.9183888885278,48.9180294462854,48.9172789317023,48.9159084699131,48.914259165949,48.9128023325211,48.9122011546785,48.9128841415883,48.9149128128478,48.918070358434,48.9221429876253,48.9268920519544,48.9320776629584,48.9376640774613,48.9436569769906,48.9499754055026,48.9565068163607
Armenia,ARM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,48.7970399154397,48.8051606979447,48.8009737089528,48.7879574281105,48.7704538301438,48.7518316999976,48.7305936262687,48.7072799540004,48.6880195101446,48.6802831391941,48.6879603994382,48.7124419211516,48.7483451754271,48.7855509870351,48.810411524262,48.8128348016895,48.7936936363293,48.7554103618805,48.6926117491031,48.5978803138839,48.4662212558685,48.2896473339073,48.0691365081799,47.8217883900671,47.5786469975576,47.3686991506037,47.2055478715715,47.0875117336727,47.011758030086,46.9664753866444,46.9417261126971,46.939969632761,46.9630138936865,46.9961700754255,47.0205371711333,47.0227944501169,46.9944566503296,46.9390426971487,46.8722405763533,46.817370159656,46.7920014124313,46.8021474579442,46.840592563908,46.8957122723443,46.950538466144,46.9928401363751,47.0200357834353,47.0351711808367,47.0422739700069,47.046136275489
Aruba,ABW,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,2018 Oct,201810,48.9046893516167,48.8543454123347,48.8061621748066,48.7266750780264,48.6774497331769,48.6455740029347,48.6498531013766,48.6648113176291,48.6988785730924,48.7277396118189,48.7395377473085,48.7392876603755,48.7210837775713,48.6956102422323,48.7123165568395,48.7465092663113,48.8291164498364,48.9407807497008,49.0764998690071,49.2176363606574,49.3290642296306,49.4081054732835,49.465123094959,49.4751362162908,49.4322404015384,49.3202529754494,49.1653747701626,48.9596255119953,48.717919340055,48.4793672549967,48.2545726674444,48.0590363002196,47.8840323395654,47.734394326709,47.6261848821194,47.5606830087576,47.5408860546073,47.556903501146,47.6045304761341,47.6485721889817,47.6712732995623,47.6703738180393,47.6477354701605,47.6098184954406,47.5722075569857,47.5344789580119,47.50851484015,47.4823287983583,47.4632091988833,47.4414219037292
