 Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe,,,,Data from database: WDI Database Archives (beta),Last Updated: 02/22/2019
1970,380060,12300,442160,30,260,574000,110,4251290,1292800,,20,4817870,33358,,100,70,96970,190,,,820,17270,3,3820,302970,,260010,1953970,80,240,60100,82360,18800,34190,79780,690210,650,22320,27,48300,473580,479000,89,151000,3746000,,430300,950,105480,253500,18560,162000,,50220,,3980,,,23800,29750,13010,190,23350,11568565,6061123,11138743,6037293,,,48550,28430,12350,3290,,,591500,1312330,603480,2485054,798910,,,2041680,30,2210,27242,4712630,324950,,440,51800,5340,,190230,117000,,91550,2350,220,,170,27550,144290,13680,13710,17050,7086890,14500304,,,30400,130,68750,16872488,20010,27116337.7,2941204.7,7302645,10243849.7,1780520,384000,597000,89930,56670,316,5250,201800,5070,66960,11040,,252450,380,23240,,1350,,14770,8991754,4440890,6063677,6007360,,,7384520,6250,24270,25710,130250,90,,25381897.7,5094910,,8774654.7,,,,,353700,37070,39574,50,317780,140,,,395330,1120,,976350,,2036390,2920450,2032710,,,20286987.7,,,1406840,,257050,470090,108010,386510,4,37020,21930,,2630,156770,35850,312000,610304.7,5034213,,9540,13487879,10420,,807240,5319,358650,,16840,6410,114170,179130,83100,195430,39290,11812399,7496414.7,5520,510,,149300,,14040,635,10,360,864200,88640,,,,50,26640,120,,,,834879,550,439500,955900,2680420,2680420,,,321190,23330,150,190,,110,9559594.7,9559644.7,,9559644.7,,1097450,480,14940,37530,16739,134590,,,280000,142480,2430,30750,320,980,88820,381780,,10,20,99800,,2120,188490,4344000,11512333,154810,,1200,199330,64170,150,3680,39882201.7,234180,,198740,117500,,,,,
1971,380360,12000,454330,30,250,574000,110,4277870,1291540,,20,4832530,33209,,100,70,96950,190,,,830,17770,3,3820,307340,,260010,1996320,80,190,60090,82200,18990,24500,80280,686610,650,22410,27,48400,473070,479000,89,153500,3792500,,450540,950,105480,254000,18870,163000,,50730,,3960,,,23800,29510,13010,190,23440,11573940,6099821,11190131,6075991,,,49150,28520,12780,3340,,,593400,1292326,604580,2464925,799660,,,2020916,30,2210,27037,4717330,326230,,440,52000,5370,,189520,117000,,91550,2350,220,,170,27670,144050,13680,13710,17100,7110470,14478595,,,30450,120,68550,17011971,19910,27246716.6,2923555.6,7311190,10234745.6,1778170,383500,601540,89990,56720,316,5270,176490,5070,65410,11050,,252500,380,22990,,1350,,14820,9115717,4505330,6129057,6072450,,,7391810,6300,23640,25710,132350,90,,25511976.6,5110910,,8762295.6,,,,,353900,38570,40347,60,317780,140,,,394930,1120,,969380,,2066410,2950960,2062730,,,20401066.6,,,1406830,,268120,470090,108050,386530,4,37020,21280,,2630,156700,36050,312300,594775.6,5019613,,9310,13461780,10420,,806760,5324,354850,,17130,6690,115180,179220,82790,195080,39350,11790260,7497605.6,5300,510,,149350,,14480,640,10,370,864670,89460,,,,50,26690,100,,,,834494,550,439550,953900,2674620,2674620,,,326840,23390,150,200,,110,9561215.6,9561265.6,,9561265.6,,1098430,520,14940,37580,16654,134580,,,290000,143990,2430,28800,320,1010,88680,383140,,10,20,100300,,2120,188430,4333000,11638771,154410,,1200,200260,64220,150,3680,39990571.6,234260,,200530,118350,,,,,
1972,380460,11740,453960,30,250,574000,70,4284320,1290280,,20,4844570,33071,,100,70,99910,190,,,830,18070,3,3850,312700,,260020,2028370,80,180,60220,83020,19060,24500,80950,686130,650,22390,27,48500,471820,479000,89,156000,3838700,,450680,950,105500,254500,18870,163100,,55810,,3940,,,23800,29560,13010,190,23700,11615250,6157596,11262966,6133766,,,49750,28550,12810,3340,,,595300,1287658,609650,2462475,803360,,,2013938,30,2300,26137,4729830,325150,,440,51650,5420,,189490,117000,,91600,2350,200,,170,28000,143810,13680,13740,15840,7124210,14477115,,,30800,120,68460,17123376,19810,27335816,2881970,7330470,10212440,1779460,383500,608000,91600,56820,320,5270,175080,5070,64840,11090,,252550,380,22700,,1350,,15120,9198652,4555350,6180017,6118480,,,7403540,6350,23590,25710,134380,90,,25606436,5124100,,8729870,,,,,354200,39070,41332,60,317780,140,,,394930,1130,,971500,,2077770,2962840,2074090,,,20482336,,,1406830,,261700,470280,108050,386530,4,38220,21140,,2640,160610,36100,311770,551500,5009133,,9100,13468626,10440,,806540,5424,355050,,17430,6790,116180,182720,84300,193710,39410,11793916,7462720,5150,510,,149430,,15080,640,10,370,865170,89460,,,,50,26740,110,,,,834354,550,439600,951950,2680460,2680460,,,325680,23450,150,200,,110,9525610,9525660,,9525660,,1099410,530,15130,37340,16628,141610,,,290000,152300,2450,28800,330,1010,89470,388260,,10,20,101000,,2120,187560,4323000,11752466,154000,,1200,200650,64470,150,3680,40083551,234370,,202510,119000,,,,,
1973,380480,11460,443040,30,240,574000,70,4283680,1289020,,20,4870170,32222,,100,70,99890,190,,,840,18270,3,3850,313080,,260020,2058610,80,180,59820,83730,20000,24500,81600,685660,650,22530,27,48600,470470,479100,88,158380,3894800,,450840,950,105540,255000,20480,164400,,58510,,3942,,,24300,29860,13010,190,24050,11635670,6220591,11350781,6196261,,,50350,28550,12880,3340,,,594800,1282035,608190,2454114,801450,,,2006505,30,2350,25821,4735720,324600,,440,51350,5470,,188970,117000,,91430,2350,200,,170,28430,143570,13730,13760,15830,7127550,14484994,,,30900,120,68350,17236091,19710,27512371,2943650,7332630,10276280,1787510,383000,614810,91700,56820,324,5370,174820,5070,64470,11100,,252600,380,22710,,1350,,15320,9301029,4597720,6223167,6159160,,,7401050,6450,23590,25710,136450,90,,25785631,5130360,,8801240,,,,,354400,39570,42147,70,317780,140,,,394800,1130,,974000,,2082400,2968120,2078720,,,20655271,,,1406830,,264250,470800,103220,386530,4,39530,21010,,2640,160220,36200,308140,603000,4997663,,9040,13479700,10450,,806302,5474,364000,,17630,6890,117660,183190,85960,193260,39460,11803250,7517700,4920,510,,149040,,15050,640,10,370,865700,89960,,,,50,26790,110,,,,834306,550,439650,949900,2698840,2698840,,,322800,23510,150,200,,100,9577890,9577940,,9577940,,1100480,560,15130,37180,16537,144780,,,290000,160800,2500,28800,330,1100,90160,387870,,10,20,101800,,2130,186960,4312000,11854031,153600,,1200,201790,64820,150,3680,40270625,234420,,201440,119350,,,,,
1974,380480,11220,443360,30,240,574000,70,4290840,1287760,,20,4877270,32073,,100,70,99890,190,,,840,18570,3,3920,318430,,260020,2100430,80,180,60380,84530,20300,25000,82800,685190,650,22549,27,48700,470060,479200,88,162500,3961000,,450990,950,105580,255500,20480,166250,,56310,,2870,,,24300,29320,13010,190,24250,11642550,6299319,11436219,6274989,,,51680,28430,12980,3340,,,594300,1278347,604170,2444038,796740,,,2001457,30,2400,26054,4744630,324420,,440,51500,5740,,188210,117000,,91410,2350,200,,170,28750,143340,13780,13760,15830,7131460,14478288,,,30960,120,67820,17369789,19600,27599288,2897779,7331720,10229499,1792820,383000,609600,92800,56920,328,5450,175020,5070,64150,11140,,252650,380,22680,,1350,,15550,9422504,4649789,6277956,6216129,,,7397730,6400,23590,25710,138480,90,,25868348,5126520,,8773940,,,,,354750,39600,42745,70,318280,140,,,394500,1130,,975510,,2083300,2969830,2079610,,,20741828,,,1406830,,266300,470800,103330,386530,4,39940,20940,,2640,159990,36300,297800,561500,4986773,,9010,13471462,10460,,805360,5534,357400,,17850,6980,120330,183190,88620,192570,39510,11792932,7475460,4940,520,,149290,,15840,640,10,370,866400,90460,,,,50,26840,90,,,,833443,550,439700,948050,2698090,2698090,,,320780,23570,150,199,,100,9533680,9533730,,9533730,,1101050,570,14820,37350,16475,145170,,,290000,168830,2500,28800,340,1110,90450,383280,,10,20,102640,,2140,186380,4301580,11967888,153210,,1200,202440,65070,150,3690,40346636,234470,,202020,120200,,,,,
1975,380480,10800,437530,30,240,574000,70,4287780,1286500,,20,4868370,31895,,100,80,100040,190,,,850,18970,3,3920,323800,,260020,2134160,80,180,59550,85360,20600,25000,83950,684720,650,22540,27,48900,468950,480000,88,165500,4007100,,451150,950,105620,255500,21220,167150,,58100,,1803,,,24300,29370,13010,190,24550,11644800,6353398,11483788,6329068,,,53850,28250,13080,3340,,,593800,1274546,599430,2434304,791670,,,1995956,30,2450,26138,4747360,323570,,440,51690,5680,,187920,118000,,91180,2350,200,,170,28880,143200,13780,13780,15830,7148320,14468214,,,31350,100,67700,17459988,19500,27694398,2895550,7338860,10234410,1796940,382560,604400,92850,57150,332,5400,175170,5070,62730,11150,,255720,380,22720,,1350,,15680,9512197,4697560,6327217,6263610,,,7406700,6350,23760,25710,140550,90,,25964078,5129730,,8789620,,,,,357590,39100,43844,70,318780,130,,,394460,1130,,975510,,2073560,2960500,2069870,,,20834348,,,1406830,,269170,471000,103470,386530,4,40090,20820,,2640,163790,36300,297800,551500,4986303,,8980,13459871,10470,,802853,5654,360350,,18060,7140,122540,183290,91920,192240,39560,11783171,7478930,4930,520,,149460,,16120,650,10,370,866840,90460,,,,50,26890,80,,,,831047,550,439750,945850,2705480,2705480,,,319210,23590,150,200,,100,9534650,9534700,,9534700,,1102050,580,13130,37260,16438,141070,,,290000,172200,2550,28800,340,1060,90940,379620,,10,20,104070,,2150,185830,4301580,12044728,152810,,1260,202980,65120,150,3690,40432292,234600,,202370,120550,,,,,
1976,380480,10750,440210,30,230,574000,70,4297140,1285240,,20,4877730,31835,,110,100,99980,190,,,850,19270,3,3980,324160,,260020,2160070,80,170,61980,85850,20950,25500,85100,684250,650,23360,27,49000,471090,481000,88,172000,4066600,,451300,950,105680,256000,22050,168400,,59970,,1779,,,24300,29330,13010,190,25100,11650320,6271588,11414338,6247258,,,55550,27300,13000,3340,,,593300,1266763,601310,2427784,793300,,,1990213,30,2600,26119,4757310,320210,,440,51540,5670,,187580,118000,,91150,2350,200,,170,29300,142960,13780,14580,15850,7160740,14477354,,,31700,100,67570,17569898,19400,27664218,2742760,7351560,10094320,1796490,380460,599500,92850,57170,337,5300,175290,5070,62360,11170,,255780,380,22700,,1350,,15800,9463383,4735270,6369977,6304490,,,7415940,6300,23590,25710,142580,90,,25930998,5137040,,8648880,,,,,357640,39120,44664,70,320770,130,,,394490,1140,,975510,,2076290,2963830,2072580,,,20793958,,,1255520,,271500,471000,103620,386550,4,40250,20730,,2650,167150,36300,297800,551500,4985833,,8960,13469170,10480,,803109,5834,357120,,18270,7240,124740,184190,96740,191990,39610,11791290,7490140,4930,520,,149550,,16390,690,10,370,867500,90450,,,,50,26940,80,,,,832303,550,439800,943820,2702330,2702330,,,315160,23960,150,200,,100,9544210,9544260,,9544260,,1103000,590,13710,37350,16426,142130,,,290000,175480,2580,28800,330,1060,91430,379030,,10,20,105380,,2160,185680,4301580,12145078,152400,,1260,204700,67220,150,3710,40408352,234600,,204100,120900,,,,,
1977,380500,11090,438320,30,230,574000,70,4299980,1283980,,20,4786110,31776,,110,100,99910,190,,,860,19570,3,4000,329530,,260020,2185500,80,150,62060,86350,21430,25500,86440,679180,650,24240,27,49100,470540,481000,88,171000,4126000,,453150,950,105650,256300,22870,170800,,60380,,1761,,,24300,29270,13010,190,25400,11669340,6346098,11395948,6321768,,,58350,26350,13090,3340,,,593100,1265353,603040,2426376,794630,,,1987283,30,2700,25976,4762380,319100,,440,51770,5740,,187090,119000,,91120,2350,200,,170,29930,142720,13790,15420,15850,7174440,14376106,,,32450,90,67290,17682138,19310,27742668,2704170,7356360,10060530,1795910,380460,596930,92850,57220,341,5310,175010,5070,62150,11180,,255800,380,22670,,1350,,15900,9565055,4781570,6413827,6347950,,,7416500,6250,22920,25760,144650,90,,26012708,5137110,,8627510,,,,,359290,39150,45984,70,320750,140,,,394500,1140,,976010,,2074960,2963080,2071230,,,20875598,,,1259750,,275000,471000,103560,386550,4,40400,20600,,2650,166110,37300,297800,504930,4982493,,8990,13370576,10490,,802911,5974,359130,,18490,7350,126840,185420,100900,191590,39660,11692856,7448310,4910,520,,149600,,16650,710,10,370,868040,88440,,,,50,26990,80,,,,833125,560,439850,943200,2704250,2704250,,,315900,24330,150,200,,110,9502790,9502840,,9502840,,1103980,610,13930,37220,16414,140400,,,290000,179650,2620,28800,330,1060,91690,380290,,10,20,105380,,2170,184900,4303310,12248088,152010,,1270,206840,68120,150,3730,40388814,234600,,202740,121150,,,,,
1978,380500,11140,438430,30,230,574000,70,4305790,1282720,,20,4765300,31808,,110,100,99870,190,,,930,19770,3,4000,329890,,260020,2200390,80,150,62110,86850,21200,26000,86710,674110,650,25150,27,49200,469850,481500,87,170000,4184700,,452610,1000,105200,256500,23600,172100,,59480,,1743,,,24300,29210,13010,190,25650,11686830,6411684,11442274,6387354,,,60050,25400,13500,3340,,,592890,1265602,603350,2425973,794460,,,1986722,30,2800,25851,4769160,319610,,440,51990,5810,,186590,120000,,91750,2350,190,,170,30050,142480,13790,16260,15950,7191370,14327343,,,32570,80,66980,17773774,19210,27841274,2693860,7373640,10067500,1805920,380460,588670,93890,57270,345,5330,175890,5070,61940,11220,,255800,380,22630,,1350,,15980,9646413,4804030,6433677,6368660,,,7430870,6190,22930,25760,146730,90,,26113564,5151760,,8632780,,,,,360000,39680,47500,70,320750,140,,,394460,1140,,981980,,2071520,2960210,2067770,,,20961804,,,1259170,,279180,471000,103670,386560,4,40550,20460,,2650,167970,37350,297800,489550,4955743,,9000,13329078,10510,,803243,6084,364170,,18500,7560,124050,185940,101400,191110,39710,11645878,7448580,4950,520,,149650,,16800,710,10,370,868560,88430,,,,50,27090,80,,,,834477,570,439900,942800,2719770,2719770,,,314780,24690,150,200,,110,9503210,9503260,,9503260,,1104360,620,13930,37280,16449,140090,,,300000,183760,2710,29800,330,1060,90340,380450,,10,20,106100,,2180,184780,4281630,12329024,151610,,1270,207400,68360,150,3750,40440907,234620,,201550,121650,,,,,
1979,380490,11170,438200,30,230,574000,70,4307280,1281460,,20,4804770,31429,,110,100,99830,190,,,940,19970,3,4050,335250,,260040,2225130,80,150,62060,87350,21000,26000,89120,669030,650,25982,27,49300,468720,481500,87,169000,4231900,,452770,1000,105220,256500,24430,172250,,58620,,1725,,,24300,29200,13010,190,25900,11716285,6453942,11522542,6429612,,,61900,24470,14000,3340,,,592770,1262009,611820,2429892,802300,,,1981559,30,2850,25675,4772470,318340,,440,51500,5700,,185940,120000,,91810,2350,190,,180,30160,142450,13800,17150,15950,7199720,14353542,,,32570,80,66510,17877517,19110,27928704,2676922,7374265,10051187,1805800,380000,599080,94390,57220,349,5330,176080,4970,61740,11250,,255800,380,22520,,1350,,16050,9709390,4839912,6466829,6402762,,,7430920,6130,23090,25760,148750,90,,26203394,5155130,,8617590,,,,,360200,39700,48673,70,320800,140,,,394490,1140,,979980,,2082800,2972040,2079060,,,21048264,,,1247130,,280040,471000,103770,386560,4,40700,20340,,2650,166840,37400,299580,482340,4950663,,9540,13362961,10510,,802295,6189,363370,,18520,7680,126150,186300,103940,190480,39760,11674161,7443920,4860,530,,149670,,16970,735,10,370,869090,88420,,,,50,27190,80,,,,834466,590,439950,942100,2717900,2717900,,,313550,23590,150,202,,120,9497020,9497070,,9497070,,1104350,640,13400,37110,16587,139600,,,300000,187020,2760,30300,330,1060,89510,388920,,10,20,106100,,2190,184520,4281630,12430674,151210,,1280,209000,68500,150,3740,40556936,234630,,197800,122150,,,,,
