Country Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe,,,,Data from database: WDI Database Archives (beta),Last Updated: 02/22/2019
1970 [YR1970],1672.152,3744.007,15075.037,,,3582.659,462.042,220469.515719865,82734.854,,,147618.752,50692.608,,2574.234,2592.569,,429.039,,125620.419,121.011,282.359,227.354,3.667,2486.226,,,93761.523,18.335,8210.413,61238.9,143.013,62.339,1173.44,638.058,341485.708,36.67,20960.572,36.67,209.019,808071.095567516,124.678,,24664.242,771617.474,,28404.582,29.336,572.052,2713.58,1250.447,2442.222,,18672.364,,1705.155,,,,62100.645,139.346,25.669,3109.616,1098450.1541198,914610.692190821,1971531.75854444,901260.455866311,,,4283.056,21686.638,1430.13,36.67,,,1653.817,,,,,,,3753440.75589915,256.69,520.714,40395.672,104934.034846641,439013.24,,194.351,2082.856,47.671,,,2625.572,69.673,24165.53,381.368,44.004,,,2299.209,792.072,69.673,1580.477,385.035,43201.6804931507,9492769.73135188,,,1389.793,8401.097,70003.03,3700374.80623525,1389.793,3887900.85101776,113430.545572101,69699.0231060859,186872.428982301,195143.072,35822.923,91873.018,23908.84,19413.098,,16578.507,296740.974,4994.454,768823.22,1558.475,,3083.947,22.002,53783.889,,25041.943,,572.052,2566677.61162212,374510.71,510025.655384126,480670.36,,,48133.5989952178,3949.359,,1452.132,32331.939,,,3372117.97451955,65324.9375569401,,657747.219024815,,13747.583,205.352,,971.755,454.708,14601.994,,201.685,663.727,,,429.039,498.712,,114073.036,,210848.763539651,324061.371217988,210731.489,,,3307209.97015748,,,2849.259,,7293.663,2984.938,4616.753,,66.006,227.354,141934.902,,2394.551,14194.957,1404.461,216.353,21539.958,4670617.563,,28012.213,9341698.59817691,234.688,,36605.9884518008,967.742944733873,24337.879,135.679,2203.867,693.063,744.401,17784.95,24781.586,304441.674,15258.387,9532628.36252836,84776.4271091303,,7568.688,,120112.585,,58.672,29.336,,14.668,45291.117,1309.119,,,,29.336,872.746,18210.322,,,,60610.7460754813,40.337,216.353,149763.947,228245.822360865,228245.822360865,,,116929.629,3597.327,25.669,66.006,,29.336,226230.665291441,226258.207050609,,226258.207050608,,4855.108,1609.813,366.7,92379.064,40296.663,6659.272,,,1767.494,15375.731,,275.025,25.669,8998.818,3744.007,42639.876,,,,1444.798,,15247.386,653063.364,4328904.501,2645980.4492116,5742.522,,40.337,74561.111,28199.23,,,14788798.314,2511.895,,3769.676,8162.742,,,,,
1971 [YR1971],1895.839,4352.729,18668.697,,,3410.31,425.372,250795.355519852,88939.418,,,152774.554,52155.741,,6732.612,3039.943,,484.044,,121528.047,143.013,293.36,231.021,3.667,3061.945,,,102635.663,22.002,7517.35,64300.845,150.347,73.34,249.356,810.407,352607.719,36.67,25060.278,44.004,183.35,832585.07880542,150.347,,27095.463,876633.02,,30326.09,29.336,685.729,2962.936,1529.139,2706.246,,19607.449,,1884.838,,,,57062.187,161.348,25.669,3523.987,1171859.55116625,1029392.06724307,2127031.63433671,1014378.71901944,,,4224.384,23047.095,1510.804,66.006,,,1851.835,,,,,,,3846741.98488936,260.357,550.05,40582.689,105287.130774014,462434.369,,227.354,2845.592,55.005,,,2295.542,80.674,27814.195,469.376,47.671,,,2442.222,814.074,73.34,1499.803,403.37,46402.218,9689855.49414895,,,1331.121,9160.166,69280.631,4002560.00793194,1474.134,4213158.88487355,134027.479654956,74036.0371489016,210328.802848544,205869.047,38987.544,101722.58,28862.957,22497.045,,16248.477,311588.657,5753.523,797543.164,1657.484,,3685.335,29.336,58616.995,,27139.467,,421.705,2828721.85057871,389538.076,537867.369444955,502936.384,,,49411.334826738,5339.152,,1525.472,21646.301,,,3682752.41796357,73097.0595337774,,700141.454578097,,13201.2,227.354,,1026.76,502.379,16677.516,3.667,227.354,660.06,,,399.703,396.036,,126339.151,,224504.933130801,363832.63954727,224380.063,,,3610277.14392788,,,3036.276,,8203.079,3615.662,5104.464,,88.008,198.018,140875.139,,2420.22,15060.369,1507.137,231.021,32280.601,4709608.774,,27198.139,9515258.08703235,2093.857,,39987.4337159815,1092.74307509533,23076.431,165.015,2603.57,825.075,634.391,18613.692,27586.841,313246.141,16406.158,9685167.67202583,104025.957536008,,9152.832,,125829.438,,62.339,36.67,,11.001,59808.77,1353.123,,,,33.003,803.073,16593.175,,,,69021.8607679644,47.671,187.017,168568.323,237639.343483893,237639.343483893,,,128682.364,3197.624,29.336,69.673,,29.336,260392.52689741,260423.453168812,,260423.453168811,,4983.453,1716.156,399.703,84590.356,41943.146,8885.141,,,2464.224,19248.083,,315.362,18.335,8104.07,4213.383,47733.339,,,,1441.131,,21184.259,660863.073,4356770.034,2905423.51013658,5808.528,,58.672,62562.687,24528.563,,,15323175.556,1972.846,,3791.678,8742.128,,,,,
1972 [YR1972],1532.806,5643.513,28349.577,,,4506.743,374.034,272741.783499954,90156.862,,,157486.649,56193.108,,6490.59,3681.668,3509.319,502.379,,130834.893,157.681,388.702,253.023,3.667,3571.658,,22.002,114362.729,22.002,9460.86,66171.015,161.348,73.34,117.344,861.745,381136.979,51.338,25580.992,55.005,168.682,869398.705220759,121.011,,28191.896,931575.681,,31481.195,29.336,663.727,3021.608,1763.827,3014.274,,20799.224,,2405.552,,,,59643.755,190.684,25.669,4675.425,1224906.05495049,1091262.41831868,2264146.33962922,1075344.12691885,,,4594.751,25511.319,1679.486,88.008,,,1408.128,,,,,,,3999496.05981202,234.688,579.386,44161.681,98005.0018632439,480729.032,,216.353,2739.249,66.006,,,2423.887,73.34,31572.87,553.717,47.671,,,2709.913,832.409,66.006,1562.142,392.369,47573.1463561644,10173554.8726391,,,1536.473,9284.844,69430.978,4223381.49179409,1485.135,4441075.28852521,143923.924560738,72590.4565641886,217154.20108743,217849.136,43340.273,106115.646,29552.353,22053.338,,16934.206,328970.237,6288.905,853373.239,1917.841,,3872.352,25.669,60336.818,,27634.512,,487.711,3003164.41208687,413039.879,564421.045925218,528114.006,,,49715.1612622461,5727.854,,1507.137,15232.718,,,3889290.71245308,68024.9929190232,,741994.309913115,,13494.56,231.021,,1287.117,546.383,17913.295,3.667,245.689,839.743,,,447.374,689.396,,132459.374,,234778.247170354,390544.904440633,234647.663,,,3821052.27565832,,,3281.965,,8049.065,3300.3,4899.112,,77.007,267.691,157794.677,,1705.155,16197.139,1606.146,253.023,41426.099,4946342.96,,29427.675,9978621.0847496,2090.19,,47423.5270133562,1133.06569779258,18929.054,172.349,2801.588,1268.782,715.065,18173.652,26442.737,329952.993,18349.668,10157121.5073429,115994.306356758,,10784.647,,132422.704,,66.006,36.67,,11.001,70344.061,1455.799,,,,44.004,678.395,22240.355,,,,76366.4103829526,55.005,234.688,171725.61,245637.662,245637.662,,,145026.183,3542.322,29.336,77.007,,36.67,274530.78018056,274572.734111859,,274572.734111859,,5379.489,1745.492,381.368,84781.04,42973.573,7766.706,,,2167.197,21836.985,,399.703,22.002,8243.416,4737.764,53857.229,,,,1382.459,,23454.132,648486.948,4564952.958,3074120.45704263,6076.219,,62.339,62577.355,23058.096,,,15957192.522,1496.136,,4066.703,8225.081,,,,,
1973 [YR1973],1639.149,5291.481,38312.816,,,4880.777,330.03,318446.999109467,94065.884,,,170992.21,60164.469,,7873.049,5522.502,4554.414,480.377,,138872.957,146.68,381.368,425.372,3.667,3457.981,,51.338,132463.041,25.669,9981.574,68825.923,168.682,73.34,128.345,898.415,381621.023,62.339,30670.788,58.672,161.348,905753.82738241,161.348,,27652.847,968542.708,,33699.73,29.336,1221.111,3193.957,2046.186,3208.625,,22398.036,,2500.894,,,,59266.054,179.683,25.669,5966.209,1347948.9911399,1143764.00067468,2412761.03573594,1127075.24120117,,,5262.145,23795.163,1969.179,29.336,,,1752.826,,,,,,,4203895.41164692,253.023,630.724,49387.156,103271.066930625,516599.626,,209.019,5313.483,62.339,,,2475.225,84.341,37256.72,557.384,55.005,,,2937.267,803.073,110.01,1804.164,421.705,51041.324630137,10704649.1818075,,,1510.804,9295.845,73068.642,4484385.45232995,1752.826,4726698.51424292,164494.057167883,78279.7894395887,242085.790527462,224343.393,49134.133,129595.447,30645.119,22860.078,,19310.422,354320.208,8298.421,915748.909,2203.867,,3920.023,36.67,73094.311,,24242.537,,517.047,3163329.82669613,457942.294,616084.009922568,576038.029,,,54254.3381314854,7172.652,,1481.468,14587.326,,,4169692.78206967,75305.0487317425,,792886.199913361,,14169.288,223.687,,1074.431,572.052,17513.592,3.667,267.691,806.74,,,469.376,678.395,,144292.783,,271740.163468377,461976.919583236,271589.021,,,4094387.37576458,,,3479.983,,9640.543,3564.324,4110.707,,84.341,421.705,165645.724,,2599.903,18202.988,1829.833,330.03,49577.84,5152241.343,,30524.108,10479048.221781,2112.192,,57391.3618999722,1221.77546772652,20036.488,176.016,3241.628,1345.789,869.079,19757.796,31543.534,336128.221,20003.485,10666361.8526122,128500.894474882,,12467.8,,144960.177,,69.673,36.67,,14.668,95136.648,1551.141,,,,47.671,539.049,21220.929,,,,91876.283748165,66.006,264.024,173533.441,254691.485,254691.485,,,155367.123,3689.002,29.336,80.674,,40.337,291716.405530963,291761.911864869,,291761.911864869,,5427.16,2108.525,370.367,87366.275,46262.872,7895.051,,,3186.623,24455.223,,403.37,25.669,9398.521,4829.439,59486.074,,,,1180.774,,30630.451,660034.331,4770194.948,3296115.01707863,5775.525,,55.005,66501.045,25096.948,,,16822109.477,2731.915,,4591.084,9281.177,,,,,
1974 [YR1974],1917.841,4345.395,31906.567,,,4873.443,429.039,310771.986181621,95569.354,,,172356.334,57469.224,,7389.005,5405.158,4660.757,491.378,,135220.625,154.014,407.037,443.707,3.667,3516.653,,88.008,143456.707,25.669,8184.744,71260.811,205.352,91.675,73.34,975.422,389970.782,66.006,29482.68,55.005,113.677,935124.756842526,150.347,,25955.026,988014.478,,36479.316,29.336,1624.481,3369.973,1906.84,3560.657,,22911.416,,1925.175,,,,55078.34,194.351,29.336,6417.25,1399948.24722897,1160766.99452099,2434009.16691184,1143845.86261142,,,6090.887,26123.708,1972.846,51.338,,,1738.158,,,,,,,4142868.58473433,300.694,671.061,46680.91,101585.318632199,499071.366,,216.353,5452.829,62.339,,,2937.267,77.007,36218.959,557.384,36.67,,,3069.279,839.743,102.676,1554.808,473.043,52134.1910958904,10458247.9576178,,,1558.475,10678.304,74102.736,4618106.25856727,1741.825,4887969.74994137,193493.253885708,80947.0748292104,270258.65778895,231992.755,51260.993,143911.415,30942.146,23303.785,,19446.101,359406.337,7601.691,915873.587,2229.536,,4950.45,33.003,75686.88,,19328.757,,293.36,3222898.72194384,493343.512,651795.410241532,611178.89,,,53969.1945930103,7231.324,,1723.49,9347.183,,,4319735.1915612,77002.0461438928,,831185.003907747,,14411.31,267.691,,1188.108,550.05,19050.065,3.667,304.361,744.401,,,484.044,693.063,,155007.757,,280490.825605639,468359.690925512,280334.816,,,4242635.37532157,,,3751.341,,11136.679,3149.953,4675.425,,99.009,425.372,160445.918,,2783.253,18756.705,1950.844,289.693,62291.329,4988902.162,,27696.851,10249190.1184935,2335.879,,51123.309444872,1298.38845085128,21418.947,194.351,3021.608,1587.811,953.42,21360.275,30531.442,346876.198,20714.883,10399499.1662748,143433.297204081,,10487.62,,150944.721,,73.34,33.003,,18.335,98788.98,1851.835,,,,55.005,520.714,21968.997,,,,84853.6534351027,66.006,330.03,176734.732,263356.606,263356.606,,,173152.073,2933.6,36.67,73.34,,33.003,309624.147259529,309676.921073453,,309676.921073453,,5683.85,1602.479,311.695,79889.262,41481.104,9666.212,,,2306.543,24246.204,,377.701,22.002,10051.247,5397.824,61136.224,,,,1195.442,,31327.181,617607.141,4598487.673,3406287.96203978,5683.85,,62.339,75133.163,19083.068,,,16850822.087,2247.871,,4202.382,9057.49,,,,,
1975 [YR1975],2126.86,4594.751,32031.245,,,4415.068,707.731,307638.878609738,94931.296,,,175883.988,54392.611,,8254.417,5753.523,4869.776,568.385,,122100.099,176.016,443.707,458.375,3.667,4059.369,,187.017,151164.741,25.669,7080.977,73061.308,220.02,77.007,73.34,1162.439,397143.434,77.007,31583.871,55.005,102.676,997763.901919111,183.35,,23014.092,1145607.47,,35896.263,33.003,1100.1,3237.961,2038.852,3989.696,,27066.127,,1980.18,,,,55778.737,198.018,29.336,6340.243,1430968.18741167,1328935.83470844,2570142.39150683,1309535.05467685,,,7363.336,31099.827,2108.525,62.339,,,1210.11,,,,,,,4065317.55485878,348.365,623.39,46101.524,104125.331271044,446919.292,,212.686,5368.488,99.009,,,2746.583,88.008,38873.867,506.046,47.671,,,3523.987,843.41,113.677,1826.166,484.044,52041.2602739726,10125054.3059419,,,1668.485,11019.335,75389.853,4996772.8137232,1617.147,5248134.42716756,168172.55970903,82357.363655907,250531.373583367,252201.592,53963.572,139349.667,33157.014,22053.338,,19647.786,342310.783,8188.411,870072.757,2493.56,,4976.119,33.003,81829.105,,16827.863,,253.023,3568274.37868334,507135.099,663905.197090024,618010.511,,,52462.5577883646,6431.918,,1485.135,11580.386,,,4657551.94389159,79197.4182607268,,861218.303725758,,11844.41,297.027,,1694.154,579.386,19446.101,7.334,341.031,667.394,,,509.713,590.387,,164472.284,,286515.390481692,462031.943474118,286356.03,,,4577881.12078128,,,4066.703,,11111.01,2885.929,4587.417,,102.676,352.032,153020.243,,2530.23,18261.66,1928.842,333.697,47395.975,4803931.348,,29673.364,9938824.91489322,7256.993,,50533.8704230658,1274.19487723293,23219.444,194.351,3663.333,1532.806,839.743,21965.33,32526.29,375559.472,21356.608,10031140.8900606,129682.030710783,,10956.996,,162257.416,,176.016,58.672,,18.335,83336.242,2581.568,,,,58.672,524.381,24543.231,,,,86989.5470129391,58.672,502.379,185201.835,285677.635,285677.635,,,181644.845,2896.93,33.003,77.007,,33.003,300638.637275585,300695.222087309,,300695.222087308,,4239.052,2020.517,337.364,80824.347,39097.554,11184.35,,,2284.541,24407.552,,311.695,33.003,9622.208,5548.171,65697.972,,,,1133.103,,31070.491,603643.205,4406329.539,3709535.98648084,5969.876,,55.005,63816.801,21800.315,,,16745791.873,2170.864,,4081.371,8320.423,,,,,
1976 [YR1976],1987.514,4950.45,39170.894,,,3285.632,403.37,373316.73780395,99786.404,,,174244.839,58415.31,,6464.921,6574.931,5570.173,531.715,,130009.818,176.016,260.357,469.376,3.667,4580.083,,594.054,155154.437,25.669,6024.881,73116.313,209.019,88.008,73.34,1092.766,399317.965,73.34,34766.827,66.006,128.345,1056884.29342088,183.35,,24103.191,1196193.735,,38089.129,40.337,1235.779,3413.977,2086.523,3964.027,,27223.808,,2464.224,,,,60135.133,198.018,29.336,6332.909,1555575.99632897,1392354.61954939,2701949.69363129,1371938.0491918,,,8111.404,34495.469,2211.201,62.339,,,1177.107,,,,,,,4331569.68402158,330.03,484.044,51279.328,132167.982019191,505602.293,,264.024,5709.519,99.009,,,2434.888,77.007,42911.234,220.02,47.671,,,3311.301,887.414,95.342,1752.826,674.728,50688.1875068493,10675505.4353381,,,1778.495,12508.137,80013.94,5310350.01077883,1705.155,5580413.17339949,186625.375735114,84678.6465073019,269271.437607415,263785.645,61810.952,156643.239,48800.436,22295.36,,19611.116,367312.389,7282.662,908902.62,2951.935,,4609.419,33.003,93306.815,,18474.346,,223.687,3751723.75224461,528143.342,695391.387426498,650683.481,,,50628.3912435786,6127.557,,1477.801,17916.962,,,4945790.55794544,86168.355585731,,902687.518964939,,11840.743,253.023,,993.757,583.053,23894.172,11.001,341.031,762.736,,,517.047,619.723,,184138.405,,340215.47058273,545550.873313732,340026.242,,,4859318.54424794,,,4404.067,,11547.383,2559.566,4899.112,,102.676,282.359,169683.091,,2390.884,19237.082,2225.869,333.697,55247.022,5012888.009,,29317.665,10454733.5583305,8327.757,,51475.9202882739,1008.06556743112,22838.076,113.677,3611.995,1573.143,1034.094,22442.04,35129.86,399035.606,22423.705,10530420.6297318,149925.808728642,,10384.944,,174765.553,,267.691,47.671,,29.336,101550.231,1774.828,,,,80.674,451.041,30036.397,,,,91594.6274521866,62.339,480.377,193115.221,297283.69,297283.69,,,198443.372,2805.255,36.67,84.341,,33.003,316216.250897295,316295.015063243,,316295.015063243,,3755.008,1998.515,333.697,88308.694,40483.68,13758.584,,,2790.587,28778.616,,322.696,29.336,15925.781,5848.865,73721.368,,,,990.09,,39651.271,598912.775,4613100.668,3948564.92231492,5896.536,,44.004,57344.546,13923.599,,,17726098.317,2566.9,,4026.366,10868.988,,,,,
1977 [YR1977],2390.884,5720.52,41891.808,,,3534.988,465.709,395094.403549501,100791.162,,,187787.07,56218.777,,9717.55,7469.679,5812.195,590.387,,126570.172,198.018,297.027,454.708,7.334,4481.074,,781.071,162961.48,29.336,6395.248,75969.239,249.356,99.009,73.34,1565.809,408151.768,80.674,38606.176,69.673,128.345,1100015.68193646,198.018,,23109.434,1310310.775,,39354.244,40.337,480.377,3487.317,2614.571,4055.702,,29402.006,,2669.576,,,,61847.622,198.018,25.669,5614.177,1666901.65889072,1535491.68792939,2903579.16220653,1513034.24165584,,,7484.347,37865.442,2288.208,62.339,,,1048.762,,,,,,,4315907.79407082,407.037,766.403,50219.565,129282.466913777,480857.377,,275.025,6314.574,113.677,,,3003.273,77.007,46999.939,722.399,47.671,,,3813.68,902.082,102.676,1899.506,707.731,52498.4799178082,10899822.6037867,,,2002.182,14231.627,83204.23,5665492.88842113,1906.84,5936382.23020217,179375.576555658,89601.5180638452,269511.109559001,279051.366,82434.16,163969.905,43710.64,23567.809,,19893.475,356175.71,7447.677,935213.345,3164.621,,5056.793,22.002,105712.276,,17220.232,,231.021,4012792.45774312,556261.898,727231.229699832,676550.499,,,52504.9439900299,5573.84,,1474.134,20106.161,,,5285377.95807143,87064.1683460483,,973717.719497766,,10927.66,308.028,,847.077,638.058,22610.722,14.668,414.371,803.073,,,557.384,641.725,,192847.53,,353783.583196397,574566.80510534,353586.808,,,5197506.44231424,,,4972.452,,12702.488,2713.58,5174.137,,113.677,337.364,164277.933,,2141.528,20300.512,2838.258,366.7,50567.93,5150899.221,,31070.491,10668513.927321,8507.44,,54512.5838202578,1459.67894164026,24389.217,183.35,3461.648,1580.477,1158.772,23340.455,36754.341,419024.423,22728.066,10721583.5903379,141115.878007059,,9926.569,,178399.55,,267.691,80.674,,29.336,118176.409,2244.204,,,,84.341,513.38,28309.24,,,,99743.8829491626,80.674,799.406,199950.509,314921.96,314921.96,,,195663.786,2918.932,36.67,69.673,,33.003,318832.992205793,318915.452728492,,318915.452728492,,3806.346,1899.506,341.031,85804.133,41085.068,14664.333,,,2013.183,32159.59,,462.042,29.336,16175.137,6758.281,81572.415,,,,806.74,,38785.859,604746.972,4742292.745,4215519.61973244,5650.847,,51.338,63732.46,15276.722,,,18279804.316,2981.271,,3744.007,9299.512,,,,,
1978 [YR1978],2159.863,6494.257,62529.684,,,5412.492,491.378,425706.405399379,102639.33,,,202015.03,57483.892,,6607.934,7766.706,6017.547,630.724,,135855.016,216.353,363.033,425.372,11.001,5027.457,,832.409,176925.416,29.336,9541.534,81411.067,348.365,102.676,51.338,2002.182,415896.472,209.019,37091.705,91.675,146.68,1156662.28304623,194.351,,22948.086,1462168.579,,41682.789,29.336,322.696,3538.655,2922.599,4818.438,,30689.123,,2808.922,,,,61117.889,201.685,25.669,5449.162,1749878.45713291,1706619.67437513,3081138.27963793,1681565.60113718,,,10425.281,39313.907,2390.884,69.673,,,1371.458,,,,,,,4457560.88762541,399.703,711.398,51913.719,129889.943778074,505858.983,,311.695,7561.354,139.346,,,2970.27,69.673,48081.704,392.369,51.338,,,4129.042,902.082,102.676,2057.187,755.402,54639.6060547945,11181890.8269575,,,2049.853,15753.432,88187.683,6098197.03869234,1925.175,6374719.39719254,181365.586127098,92185.5876531339,274572.752917506,283096.067,93933.872,162470.102,42317.18,23571.476,,21176.925,373234.594,9119.829,903886.164,3641.331,,5324.484,22.002,113405.642,,21000.909,,231.021,4371261.12328462,614339.844,783435.829096863,733675.025,,,55356.3793747812,5713.186,,1507.137,21239.264,,,5719015.31497869,90218.4386288556,,1011243.10845851,,11848.077,414.371,,1019.426,671.061,23237.779,22.002,396.036,935.085,,,583.053,630.724,,222649.239,,376531.635712551,605684.64952863,376322.208,,,5627539.67795223,,,5782.859,,13076.522,2874.928,5155.802,,113.677,330.03,170548.503,,1543.807,18008.637,2632.906,418.038,48294.39,5307183.094,,34792.496,10952355.1572715,7796.042,,62959.4555166774,1342.74333581825,26138.376,110.01,2841.925,1675.819,1459.466,22460.375,37476.74,432056.941,22742.734,10994912.7789891,140798.167310693,,10531.624,,193903.626,,289.693,106.343,,33.003,115132.799,2629.239,,,,77.007,711.398,33164.348,,,,105203.320819545,62.339,557.384,202099.371,321225.533,321225.533,,,200493.225,3450.647,33.003,99.009,,36.67,324200.475800179,324275.438861956,,324275.438861956,,3439.646,2394.551,440.04,79533.563,42218.171,15221.717,,,2203.867,35067.521,,355.699,36.67,15328.06,7491.681,77256.356,,,,700.397,,44814.407,605084.336,4890861.25,4605463.97840599,5742.522,,58.672,68690.244,15419.735,,,18497906.475,3105.949,,3476.316,9295.845,,,,,
1979 [YR1979],2240.537,7587.023,45621.147,,,5504.167,407.037,455940.526593631,110703.063,,,205069.641,61594.599,,6930.63,8133.406,6648.271,601.388,,140233.414,209.019,366.7,462.042,22.002,4737.764,,942.419,188322.452,29.336,7440.343,79152.195,407.037,110.01,29.336,1829.833,442067.851,249.356,37524.411,91.675,102.676,1168855.29732746,201.685,,24862.26,1494859.884,,44433.039,22.002,348.365,3755.008,2794.254,5423.493,,31712.216,,3003.273,,,,62999.06,363.033,33.003,6809.619,1848615.75927757,1749063.88164953,3203041.88596941,1723398.63818655,,,12167.106,42947.904,2390.884,62.339,,,1848.168,,,,,,,4647643.76559488,480.377,839.743,54333.939,156835.339440084,529155.434,,282.359,6754.614,146.68,,,2658.575,91.675,51293.996,572.052,47.671,,,4693.76,946.086,110.01,1521.805,755.402,55505.7213150685,11489798.1733856,,,1932.509,15885.444,86229.505,6316137.80475705,1987.514,6644716.98114828,226231.256465026,103761.343457354,327865.523295272,296891.321,95096.311,164028.577,52991.817,27388.823,,21019.244,387466.221,8536.776,955620.2,3795.345,,5038.458,25.669,133211.109,,17667.606,,223.687,4488435.57600279,656334.328,838732.101413957,786828.19,,,59282.8829654051,6156.893,,1947.177,26032.033,,,5963907.32864306,107541.691022034,,1090338.07949485,,12123.102,414.371,,1133.103,638.058,27278.813,29.336,429.039,905.749,,,605.055,660.06,,240874.229,,392657.069713922,637209.670744443,392438.673,,,5856349.06157617,,,6299.906,,15958.784,2643.907,5100.797,,113.677,513.38,187812.739,,1642.816,16475.831,1712.489,480.377,70289.056,5344326.137,,34242.446,11241660.4483065,7722.702,,65722.4509313941,1552.42097384392,28250.568,124.678,3193.957,1796.83,1331.121,22273.358,38136.8,442489.556,25030.942,11268548.8524959,176486.422944835,,14359.972,,196074.49,,297.027,95.342,,33.003,138135.89,2900.597,,,,121.011,678.395,36123.617,,,,108465.839581295,110.01,487.711,218908.899,338423.763,338423.763,,,203745.854,3828.348,36.67,150.347,,29.336,365588.166567157,365707.387231111,,365707.387231111,,3571.658,2295.542,447.374,84927.72,39911.628,22548.383,,,2071.855,36736.006,,1382.459,40.337,16725.187,8771.464,75576.87,,,,674.728,,36607.661,644893.288,4901796.244,4756396.33963704,6277.904,,62.339,76570.627,16281.48,,,19533547.949,3223.293,,3604.661,9449.859,,,,,
