Country Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe,,,,Data from database: WDI Database Archives (beta),Last Updated: 02/22/2019
1970 [YR1970],5451441,1035954,7235409,,,3475917,35041,60724221,11951008,1292908,30178,6219473,3959731,2660114,85467,97683,31703380,126597,4885284,4922923,61499,1511843,,147017,2262281,1911607,363337,47832240,,62757,4245836,2824976,1776554,3514600,3306343,10632184,141464,2432693,,930058,50917001,1858021,62214,4860717,398313166,,11081806,115374,686398,10311897,910713,2536402,2276579,4284036,73492,310389,5087672,,7597108,2481117,80170,,2228657,611070349,548047889,634881096,540450781,,,3024416,17296817,1843661,154407,908760,737883,14276227,148337155,165871687,383980195,184951257,,,227540814,,255805,2381540,76869207,26463499,,53937,307452,218407,2180475,41158943,4218575,,4469329,,49753,,37136,2776736,2138553,360873,351103,2390936,105048405,446305564,,,1362352,1940430,5327223,1172651536,101075,1417752948,77908020,167193392,245101412,266949800,57588563,13861537,4873132,1472757,,1473958,27587663,959107,52912442,827456,6612069,5639596,25886,16049457,,325510,1542510,1361663,667113865,122572591,143789171,137771520,,1278970,154933062,1137178,555561,707664,1033076,,1666952,1391044811,107097491,,578807270,,172979,119568,847760,3259080,2365095,5328009,55922,2971369,156024,,,577025,412740,,26080967,29756,63229830,68642047,63229830,,,1283947320,1620524,,648969,262208,8088208,4681333,13524966,394937,,6033613,6534376,,53451,1406305,1198881,2327549,27987753,114708306,,1948448,456723415,368195,,5671051,539082,27378288,,746581,1232972,1239980,6641178,17690748,16802991,4558728,430731025,121296562,1386132,39619,,10303251,70882259,1911663,70218,,37037,2864805,2114472,,,,26746,1381238,1012420,,2299648,889996,8642826,76056,1741836,11422738,343775766,343775766,,1828595,17314825,6056305,,54066,,47668,147547048,147573794,,147573794,,5139458,185990,234157,4027069,3161068,3132703,,1494468,6914814,18399221,297812,1071577,41169,476402,2522580,17552464,1121464,,,4750847,25675618,86423,28651921,104076122,705140050,1413216,6219431,40192,5704565,22011010,31749,,1837350375,3141564,,2100093,2596983,,,,,
1971 [YR1971],5599707,1061521,7437122,,,3552328,35602,62398727,12158165,1324772,30401,6436027,3974418,2711183,87854,100888,32400138,126728,4920806,4933960,62789,1544340,,151579,2308793,1934797,374677,49046478,,65827,4269871,2879396,1802374,3585606,3391424,10795924,143070,2461238,,948386,51163509,1899033,62834,4952637,409473754,,11357767,117655,707301,10584714,935372,2647498,2288090,4362290,74889,313471,5073832,,7790985,2498855,85094,,2292570,626299124,563187811,651499584,555396826,,,3111321,17706099,1892405,151920,933363,745831,14691214,149090798,167575401,386696691,186722593,,,228647333,,261547,2384233,78904879,26668147,,55729,313530,224819,2202943,41205799,4332213,,4486463,,49555,,38232,2855954,2161267,367989,355455,2434210,107831945,450918060,,,1404010,1989244,5342203,1200105416,101903,1451517133,80012037,171399680,251411717,272982763,59122909,14237018,5035515,1489957,,1522481,27713672,972089,53582725,870739,6718555,5844649,26310,16376071,,355375,1572144,1398186,682729189,125865083,147444080,141317525,,1286253,158727770,1164203,567226,726975,1077307,,1686476,1424681262,109827505,,592348450,,174604,120654,856796,3351347,2428005,5458849,57608,3020679,155963,,,594052,420283,,26926610,30059,64897479,70536360,64897479,,,1314853757,1643169,,668273,263785,8258876,4789666,13853088,406822,,6154780,6612659,,57318,1428152,1235629,2388806,28640396,116239897,,1962625,461898410,379950,,5783921,551378,28164006,,768290,1265557,1268991,6823856,18204688,16859102,4537496,434799045,124466262,1408810,42150,,10405338,71236010,1969375,71366,,38050,2984580,2176771,,,,27222,1407593,1031865,,2310445,896068,8796537,79053,1757749,11744687,351702865,351702865,,1872859,17514883,6192284,,54660,,48117,151452623,151479845,,151479845,,5308373,186535,240960,4057283,3177767,3242716,,1539425,7135905,18936935,305599,1106980,41714,481854,2577817,17976915,1153683,,,4888374,25836859,97494,28761961,105443973,722505307,1418184,6401186,41329,5879627,22572004,35583,,1875599322,3204973,,2172455,2685075,,,,,
1972 [YR1972],5753953,1088570,7642210,,,3637187,36120,64094688,12375602,1357022,30634,6558435,3994602,2760493,90098,104346,32999907,126957,4955051,4955462,63940,1578387,,156136,2356622,1958175,386534,50269018,,69035,4290657,2935315,1822912,3665477,3480288,10972537,143654,2490831,,966640,51522102,1943296,63454,5042471,419694847,,11626302,119940,729206,10859445,959670,2767850,2298541,4441477,75130,316467,5095229,,7984400,2514189,90113,,2356959,641916023,577453430,667209047,569469030,,,3200030,18112743,1941785,147374,958888,753288,15134687,150052900,169284336,389707589,188575844,,,230021743,,267444,2397982,80986950,26890297,,57554,319213,232385,2225523,41379184,4459136,,4513688,,49346,,39354,2936601,2179028,375434,359434,2477175,110706361,455608114,,,1446919,2035071,5358537,1227103528,103409,1484907450,82181394,175622528,257803922,279276746,60682077,14626229,5201208,1512053,,1563564,27870492,987250,54323027,907835,6824163,6060013,26718,16692398,,384915,1602848,1437030,697515045,129205444,151157336,144917264,,1295099,162518860,1194594,579393,747177,1123416,,1703643,1457860713,112620764,,606215269,,176629,120692,864285,3447282,2493806,5591564,59326,3073439,155745,,,611584,427991,,27808334,30114,66587812,72460565,66587812,,,1345239949,1664831,,688275,266883,8429890,4901444,14186990,419438,,6279285,6680237,,59980,1454147,1273471,2451723,29320179,117576790,,1978103,467175274,392420,,5900020,563691,28976072,,790455,1299157,1298062,7009330,18732762,16992967,4525725,438834856,127731201,1437345,44849,,10499969,71600078,2027928,72365,,38904,3115666,2241907,,,,27809,1435420,1051710,,2331307,902865,8954542,82327,1764221,12079114,359826235,359826235,,1918903,17698135,6324810,,55148,,48587,155503456,155531265,,155531265,,5483916,185739,248102,4072583,3202915,3356943,,1584590,7367251,19483858,314252,1138225,42111,488212,2633536,18411317,1186544,,,5022666,26003195,111248,28846171,106604253,739024680,1420437,6574812,42612,6054245,23129050,38431,,1913468827,3269095,,2249057,2777574,,,,,
1973 [YR1973],5908686,1114865,7852429,,,3729918,36586,65847194,12601072,1389271,30889,6663001,4013905,2808388,92220,108173,33562423,127307,4986491,4973208,64977,1614133,,160741,2405912,1981263,399093,51506025,,72271,4314146,2993063,1841533,3739954,3573146,11163418,143642,2520932,,985303,51897372,1989275,64044,5130384,429396987,,11891534,122413,751924,11139959,983984,2896670,2308536,4518767,74819,319412,5122305,,8171569,2530848,95852,,2421722,657940444,591234646,682112160,583063077,,,3290432,18521793,1991478,141632,985316,759768,15580784,150974424,170987290,392645957,190437489,,,231324088,,273393,2411083,83140279,27115840,,59407,324750,240775,2245822,41488178,4591426,,4532228,,49102,,40510,3018511,2192731,382722,363182,2520623,113667217,459853014,,,1491253,2099238,5376590,1253958663,104994,1518300998,84438184,179904151,264342335,285799794,62263526,15032415,5370628,1536230,,1630337,28061586,1003568,54759782,939844,6927351,6285804,27110,16995554,,413695,1633029,1475754,711806873,132590578,154925670,148569647,,1304798,166355791,1225612,592131,768357,1171153,,1718965,1491015130,115477540,,620432966,,178460,119937,871159,3546886,2562732,5727374,61081,3128966,155531,,,629599,435849,,28711961,30077,68316963,74463243,68316963,,,1375537590,1686126,,708791,270946,8604041,5018930,14526799,432471,,6407599,6736627,,61456,1483322,1312564,2516516,30038167,118807292,,1992388,472002910,405917,,6017598,576063,29822522,,812997,1333919,1327612,7198621,19274384,17141663,4520433,442362483,131128765,1469491,47828,,10585223,71970016,2088145,73237,,39664,3256988,2308921,,,,28169,1464764,1071984,,2354987,910391,9114593,85803,1782753,12423435,368177914,368177914,,1966832,17882794,6455068,,55597,,49077,159707739,159735908,,159735908,,5667469,184079,255570,4083473,3228053,3475300,,1630158,7607444,20034227,322120,1166359,42421,495237,2690303,18854602,1220034,,,5156952,26169511,127811,28886880,107643874,755104624,1421560,6744799,44022,6229997,23683179,42530,,1950868144,3337593,,2329367,2873448,,,,,
1974 [YR1974],6056668,1141014,8070274,,,3829313,36977,67704063,12831143,1420978,31065,6838165,4017988,2855319,94260,112539,34172814,127793,5013630,4990837,65922,1651784,,165480,2456814,2003341,412591,52765848,,75397,4344337,3053067,1863068,3789384,3670240,11370241,143675,2550547,,1005053,52309063,2034799,64559,5216700,438354648,,12159492,125351,775190,11431799,1008892,3032635,2317694,4590320,75643,322390,5154736,,8345518,2544259,103135,,2486748,674311709,604266138,696934340,595920620,,,3382426,18940334,2041068,135882,1012581,765674,15994207,151802272,172694901,395475403,192313973,,,232535482,,279288,2423255,85399378,27324043,,61281,330513,249528,2266253,41483365,4717711,,4546630,,48766,,41717,3101464,2203767,389210,366895,2565637,116708343,464642783,,,1537241,2168081,5401321,1280398939,106449,1551519278,86809631,184310708,271120339,292504389,63864717,15459591,5544595,1561609,,1681837,28250049,1019553,55802024,968765,7025418,6521987,27509,17293784,,441238,1665699,1511025,725386589,136016423,158739099,152272975,,1315468,170310005,1253408,605497,790621,1220212,,1733715,1523960535,118399751,,635042711,,180715,118788,878758,3650091,2635031,5867695,62886,3186296,155351,,,648110,443833,,29617991,30162,70106990,76524006,70106990,,,1405560784,1706136,,729548,275125,8784716,5145121,14872945,445505,,6540415,6791370,,62703,1515064,1353059,2583472,30808624,120025750,,2005268,477372396,420827,,6136704,588515,30713842,,835823,1370023,1358164,7393120,19828352,17301378,4576487,446414377,134709077,1501384,51224,,10678767,72336101,2151292,73964,,40510,3406761,2376447,,,,28637,1495638,1090344,,2380329,915644,9275766,89377,1842545,12773949,376801432,376801432,,2016726,18067353,6584938,,56067,,49547,164074651,164103288,,164103288,,5860830,182265,263349,4099320,3247199,3597609,,1676399,7854390,20580544,326973,1193226,42729,502502,2748983,19305222,1254087,,,5295849,26327982,147239,28891398,108655509,770518073,1423727,6917835,45486,6409124,24236251,45659,,1988603318,3415368,,2412570,2971178,,,,,
1975 [YR1975],6191328,1167738,8297705,,,3934592,37290,69698805,13063209,1451736,31150,6928135,4004755,2901653,96241,117538,34892255,128412,5034965,5006958,66797,1691501,,170419,2509419,2023933,427170,54054520,,78328,4366777,3115698,1891010,3801358,3771775,11594419,144203,2579000,,1026370,52769125,2078400,64968,5301768,446155261,,12434700,128928,798807,11738657,1034803,3174717,2326099,4653440,76118,325454,5189216,,8501728,2553213,112484,,2551956,691028935,616109904,710288694,607608176,,,3475926,19374157,2090189,131082,1040664,771025,16352350,152547313,174403870,398202546,194199879,,,233692764,,285024,2433726,87785160,27500783,,63158,336797,258311,2283950,41307002,4830598,,4586657,,48305,,42994,3185361,2213559,394522,370681,2613087,119825466,469173271,,,1585044,2204589,5433515,1305976582,107846,1584178003,89314301,188887120,278201421,299356060,65483567,15912215,5723626,1587248,,1722829,28426374,1034137,56691997,996305,7116644,6768625,27919,17591165,,467324,1698102,1540697,737854254,139479765,162589695,156025650,,1325071,174434594,1275280,619512,814027,1270346,,1747691,1556308559,121389504,,650066687,,182700,117598,888001,3756868,2710883,6013552,64748,3244736,156427,,,667099,451882,,30511794,30504,71976655,78666899,71976655,,,1434919055,1723379,,750363,278802,8974405,5281658,15225650,458220,,6678305,6854978,,63490,1545478,1395052,2652865,31640397,121366353,,2016974,482503880,437435,,6258428,601082,31658164,,858864,1407607,1390170,7593710,20393957,17469910,4746304,450167081,138503817,1530529,55117,,10808256,72693684,2218326,74569,,41515,3564063,2443645,,,,29278,1528067,1106716,,2406317,925248,9438510,92990,1962147,13128004,385726972,385726972,,2068708,18252595,6715693,,56605,,50002,168611393,168640671,,168640671,,6065203,180827,271427,4119411,3247584,3723828,,1723558,8106677,21117343,327393,1220361,43110,509703,2810331,19762206,1288650,,,5442840,26472969,169511,28879054,109771934,784852368,1428491,7098757,46966,6593240,24790346,48155,,2025481830,3505973,,2498071,3069919,,,,,
1976 [YR1976],6315722,1193877,8534649,,,4045039,37532,71842855,13296654,1481470,31111,7004321,3995265,2947598,98173,123233,35742302,129188,5053431,5017268,67589,1733376,,175581,2563766,2042651,442899,55372154,,81000,4387279,3180996,1926514,3768718,3877825,11758334,145370,2605991,,1049272,53227105,2119699,65269,5385639,453096645,,12718055,133246,822698,12063425,1061852,3322660,2334273,4707461,76320,328684,5222349,,8636973,2561213,124363,,2617294,708069556,627043214,722196924,618406241,,,3570908,19824565,2138794,127329,1069471,775847,16643404,153183025,176184288,400869756,196161145,,,234732348,,290485,2440965,90311607,27641181,,65052,343666,267053,2301462,41105793,4926069,,4655014,,47684,,44347,3270070,2222256,398374,374649,2663102,123022986,472976957,,,1634723,2220160,5463281,1331020317,108966,1616632147,91960736,193651094,285611830,306336937,67114999,16387609,5907361,1611129,,1763771,28579143,1046872,57105173,1022477,7200574,7025585,28341,17877598,,491491,1730047,1563687,749558631,142976997,166473611,159824635,,1332688,178750091,1290176,634146,838029,1321401,,1761383,1588414753,124451741,,665501720,,183709,116378,899231,3867261,2791823,6166032,66669,3303805,157170,,,686552,459830,,31388332,31165,73925179,80897640,73925179,,,1463963012,1738932,,771175,281766,9173859,5429028,15583863,470650,,6821420,6912927,,64309,1560059,1438571,2724766,32539873,122638832,,2027198,486904790,455715,,6380353,613662,32656888,,882095,1446670,1423732,7800831,20971101,17642584,4876017,453149688,142536320,1557512,59534,,10934812,73133908,2289389,75027,,42723,3726889,2510080,,,,29872,1562111,1122110,,2432723,939886,9600006,96600,2152895,13484173,394963375,394963375,,2122025,18436233,6847856,,57236,,50412,173321700,173351572,,173351572,,6281072,179950,279864,4137821,3230948,3853658,,1771742,8363893,21642327,322518,1247604,43580,516706,2874062,20223823,1323810,,,5599532,26602767,194658,28865711,110880498,798461292,1436473,7289072,48464,6782960,25344844,49211,,2061391710,3610999,,2585552,3168798,,,,,
1977 [YR1977],6427910,1220603,8780905,,,4161240,37690,74123776,13531869,1510252,30989,7090948,3994504,2993374,100059,129531,36704185,130090,5076217,5024527,68326,1777412,,180943,2619750,2059797,459673,56716704,,83468,4411824,3249131,1968646,3700411,3988530,11908985,147054,2631884,,1073684,53641891,2159554,65477,5468546,459292978,,13008652,138194,846926,12404217,1089978,3476597,2335476,4753436,76405,332016,5252079,,8753453,2570770,138385,,2682771,725458571,637194763,733448076,628441310,,,3667376,20292132,2186758,124585,1099042,780882,16882521,153743985,177924461,403412240,198072282,,,235657865,,295740,2447847,92960415,27752619,,66943,351048,275883,2318199,40985858,5008788,,4712121,,46932,,45760,3355734,2230719,401074,378706,2715602,126304141,476906124,,,1686233,2234673,5488144,1355534822,109823,1648872810,94741946,198596042,293337988,313455928,68757408,16889330,6095134,1632884,,1805674,28714320,1058181,57653310,1047320,7278855,7293132,28786,18161048,,514009,1761992,1581346,760483860,146507190,170389276,163668197,,1340079,183246243,1299169,649313,862462,1373325,,1774831,1620286909,127588154,,681345896,,184211,115200,911984,3981322,2878174,6325079,68661,3363753,157743,,,706491,467641,,32249766,32087,75955524,83221668,75955524,,,1492698755,1751733,,792057,284232,9382710,5585011,15946874,482937,,6969777,6959034,,65379,1565939,1483445,2799359,33500710,123986276,,2036640,491426823,475597,,6504170,626315,33709669,,905521,1487158,1458856,8013773,21560702,17812345,4921124,456246706,146785488,1582214,64450,,11034402,73564605,2364290,75368,,44093,3896611,2576402,,,,30526,1597743,1138212,,2459391,952438,9762369,100218,2402304,13843194,404497857,404497857,,2176652,18617556,6980784,,57950,,50796,178207114,178237640,,178237640,,6507866,179530,288693,4155635,3221943,3987294,,1821059,8626735,22156412,313322,1274899,44131,523624,2940180,20690506,1359557,,,5765489,26719421,222529,28853205,112077291,811352859,1447193,7487230,49985,6977935,25901248,47886,,2097193033,3729640,,2675184,3268747,,,,,
1978 [YR1978],6510970,1246195,9038133,,,4285197,37763,76521599,13768476,1538031,30834,7181166,3988996,3039454,101968,136218,37749692,131027,5104507,5029994,69112,1823575,,186444,2677123,2076353,477258,58088920,,85832,4418709,3320782,2016308,3619896,4104194,12041878,149152,2657591,,1099980,54005396,2199257,65638,5551274,465461266,,13306962,143535,871648,12754328,1119217,3636343,2348212,4792591,75881,335235,5279015,,8858871,2580308,153162,,2748490,743312245,647333829,744647389,638474958,,,3765363,20781061,2233588,123492,1129608,785561,17107240,154314556,179639092,405933172,199941120,,,236556199,,301089,2454974,95681177,27848101,,68862,358934,284951,2332545,40922458,5090511,,4769624,,46246,,47188,3442854,2241995,403495,382487,2770957,129663093,480878906,,,1739488,2256342,5506672,1380313650,110741,1681678191,97649667,203714874,301364541,320736494,70416062,17435170,6286800,1656146,,1845872,28830688,1069003,58174911,1072709,7354325,7572056,29240,18441093,,536287,1793362,1597016,771376378,150073276,174344184,167557696,,1346918,187908983,1304227,664967,888163,1426069,,1787344,1652719877,130794922,,697638970,,184787,114461,925362,4099082,2967677,6489034,70768,3425466,159336,,,726967,473774,,33097665,33215,78094203,85671158,78094203,,,1521924955,1763965,,813115,286450,9600806,5745005,16315570,495119,,7123677,7007513,,66227,1567568,1529408,2877048,34503301,125392666,,2045376,495963070,497200,,6630901,639260,34820369,,929059,1529131,1495834,8230942,22164311,17953816,4968136,459381065,151184648,1604729,69921,,11129827,73991040,2443171,75617,,45523,4079516,2644150,,,,30737,1634835,1152505,,2485391,963931,9927752,103880,2675916,14207182,414311586,414311586,,2234156,18789423,7113172,,58715,,51148,183267891,183298628,,183298628,,6744401,179471,297835,4170632,3223998,4125808,,1871839,8896243,22661339,302461,1304101,44703,530651,3010040,21165860,1395706,,,5939707,26825433,252605,28854452,113350788,824285985,1459788,7691358,51516,7177692,26466497,49458,,2133598783,3860218,,2767455,3372808,,,,,
1979 [YR1979],6543069,1271298,9308315,,,4419637,37734,79005258,14006283,1564792,30753,7265278,3979807,3086338,103952,142963,38833385,131878,5131463,5035067,70119,1871771,,192013,2735560,2093723,495308,59489157,,88245,4426986,3396788,2067591,3559932,4225186,12175105,151496,2684336,,1128579,54321683,2240671,65835,5634812,471701275,,13613113,148907,897098,13104271,1149543,3801741,2356421,4826904,75682,338046,5303396,,8964331,2588161,166755,,2814567,761801332,657634170,756070241,648669839,,,3864926,21296014,2278716,124805,1161492,789265,17370396,154900876,181343808,408473558,201797507,,,237452075,,306971,2461246,98404172,27946449,,70815,367241,294490,2350013,40914740,5187753,,4825677,,45878,,48558,3532108,2259947,406867,385511,2829543,133092052,485031543,,,1794354,2366952,5517046,1405590333,111886,1715252011,100667830,208993848,309661678,328214679,72098908,18048179,6482183,1678562,,1895183,28924861,1080681,58666221,1100945,7430858,7863387,29677,18724853,,560273,1825847,1615390,782384728,153679936,178339966,171495461,,1351207,192712251,1308355,681043,916264,1479628,,1796616,1685916090,134066349,,714438412,,185482,114649,938052,4220573,3057108,6655482,73054,3490253,160855,,,748056,481868,,33936252,34438,80373872,88298219,80373872,,,1551849741,1776258,,834530,288825,9827550,5902843,16691286,507264,,7283400,7061836,,66846,1562589,1576083,2958362,35520172,126850317,,2053360,500559896,520664,,6766062,652771,35992944,,952641,1572658,1534971,8450073,22784005,18097278,5016167,462639203,155640375,1625624,76025,,11197390,74420436,2526150,75817,,46893,4284137,2715456,,,,31028,1673163,1167480,,2511145,974933,10103169,107596,2925353,14579383,424375694,424375694,,2296700,18948915,7243150,,59504,,51499,188508610,188539638,,188539638,,6988940,179527,307238,4182611,3231825,4270609,,1924490,9173955,23160354,293682,1337561,45219,538053,3085403,21654943,1432023,,,6120324,26924795,284247,28881910,114675212,837411329,1472906,7898402,53053,7381347,27049566,49712,,2170947633,3999936,,2863130,3485136,,,,,
