 Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe,,,,Data from database: WDI Database Archives (beta),Last Updated: 02/22/2019
1970,201.3,,145.3,,,,,,59.4,,,17.8,25.1,,26.1,56.3,148.3,41.2,,20.5,69.6,157.1,,179.9,143.3,,85,102,,,27.6,144.3,146.6,,125.3,18.5,116.8,,,136.9,,,,66.5,79.3,,70.4,150,87.5,148.2,61.5,162.3,,37.4,,,,,,13.9,,44.8,86.5,,,,,,,95.8,162.3,104.8,,,,143.4,,,,,,,,,44.5,13.2,,15.1,,,,129.8,,22,120.1,,27.6,,,,,117.4,192.2,,54.9,160.2,,,,,101.5,,35.1,,12.8,,,,,142.3,112.7,,80.5,19,,,29.7,44.2,13.4,65,,92.2,95.8,47.1,,53,,,,,,,,,,47.3,133.1,190.3,95.1,,17.9,,,,,,18.9,,,92.6,203.1,41.8,173.9,194.2,24.8,58.8,,104.4,58.2,,76.7,,,,,,,,,,,,120.1,182.4,118.5,63.3,,176.3,12.4,,,16.9,116.3,131.1,168.2,,,13.1,,152,,,,144.1,,50.1,98.6,57.8,103.8,55.2,32.1,55.7,,,,50.5,,47.1,31.2,130.7,,,56.8,,124.9,,,,54.1,189.7,22,,,,,74.9,,,,,,,20.5,54,56.5,58.6,,47.6,,,,,,95.3,,120.4,11.3,15,74.1,,,126,71,,131.8,39.2,43.6,121.1,126.6,,,,112.8,,71,18,19.9,,48.5,,77.1,47.9,54.2,,,,218.7,,108.9,72,,,,,
1971,197.5,,142.9,,,,,,58.8,,,17.4,24.7,,26.6,51.6,147.9,39.2,,19.7,67.2,155.2,,174.6,140,,81.8,99.6,,,26.5,143.2,146.8,,121.1,17.6,108.4,,,134.4,,,,65.4,75.7,,68.1,147.1,85.4,146.7,57.7,157.4,,34.5,,,,,,13.2,,41,84.4,,,,,,,93.7,160.1,102.9,,,,143.4,,,,,,,,,44.1,12.6,,14.3,,,,127.4,,21.4,119.4,,25.9,,,,,114.4,190.2,,54.8,156.9,,,,,97.9,,34.7,,12.3,,,,,140.3,109.4,125.6,77.3,18.6,,,28.2,42.8,12.6,62.3,68.5,90.4,93.4,44.3,,50.2,,,,,,,,,,46.8,130.3,187,89.9,,16.6,,,,,,17.8,,,93.6,199.7,40.5,167.2,192.3,23.5,56.8,,103.5,59,,74.3,,,,,,,,49.3,,,,118.1,181.8,116.5,63.7,,172.5,12,,,16.5,113.7,132.4,163.4,,,12.7,,144,,,,141.5,,48.1,95.7,57.4,101.3,54.9,30.6,51.7,,,,47.6,,42.5,29.9,132.6,,,56.8,,123.1,,,,51.4,186.9,20.9,,,,,70.1,,,,,,,18.7,53.3,54.9,53.5,,50.5,,,,,,94.8,,117.6,10.9,14.3,70.6,,,124.1,68.2,,129.2,37,42.8,115.3,122.9,,,,112.7,28,65.2,17.7,19.1,,47.8,,74.4,46.6,53.7,,,,210.3,,106.2,71.3,,,,,
1972,193.8,,139.9,,,,,,57.9,,,16.8,24.1,,27,47.3,147.4,37.3,,18.7,64.8,152.8,,169.4,136.7,,78.7,97.2,,,25.7,141.7,147.1,,117.9,16.7,100.7,,,132,,128,,64.5,72.3,,65.8,144.1,83.2,145.1,52.3,152.1,,31,,,,,,12.5,,37,82.2,,,,,,,91.3,157.3,100.9,,,,143.4,,,,,,,,,43.8,12,,13.7,,,,125.2,,20.6,118.2,,24.9,,,,,111.3,188.1,,54.7,153.5,,,,,94.4,,34.5,,11.9,,,,,138.1,106.2,120.1,74.1,18.2,,,26.4,41.5,11.9,59.7,67.1,88.4,91.2,41.8,,47.7,,,,,,,,,,46.3,127.4,183.9,85.2,,16.6,,,,,,16.8,,,94.8,195.4,39.1,159.9,189.9,22.4,55.2,,103.1,60.5,,71.9,,,,,,,,48.2,,,,116.1,180.9,114.4,64,,168.8,11.5,,,16.1,110.8,133.7,158.6,,,12.2,,136.5,,,,139,,46,92.9,56.8,98.7,54.6,28.7,47.3,,,,44.8,,39,28.8,135.1,,,57,109.3,120.8,,,,48.6,184.3,19.6,,,,,65.7,,,,,,,17.3,52.5,53.3,48.7,,53.1,,,,,,94.3,,114.2,10.4,13.6,67.4,,119,122.2,65.3,,126.5,35,42,109.8,119.2,,,,113.1,27,59.7,17.1,18.3,,47.9,,71.7,45.4,53.2,,,,202.3,,103.3,70.8,,,,,
1973,189.7,,136.3,,,,,,56.8,,,16.1,23,,27.3,43.4,146.7,35.4,,17.7,62.5,149.9,,164.3,133.4,,75.4,94.8,,,25.2,139.3,147.4,,115.8,15.9,93.7,,,129.8,,127.5,,63,68.8,,63.3,141.3,81.4,143.5,47.1,146.6,,27.9,,,,,,11.6,,32.9,79.8,,,,,,,88.6,153.6,98.6,,,,143.3,,,,,,,,,43.4,11.4,,13.2,,,,122.9,,19.7,116.4,,24.4,,,,,108.2,186,,54.6,150.1,,,,,90.9,,34.6,,11.4,,,,,135.9,103.1,114.9,71.1,17.9,,,24.5,40.1,11.3,57.2,65.7,86.3,89.5,39.8,,45.2,,,,,,,,,,45.7,124.3,180.9,80.7,,17.1,,,,,,15.8,,,96.1,190.5,37.6,152.1,187.3,21.2,53.9,,102.8,58.7,,69.6,,,,,,,,47,,,,114,179.9,112.4,64.2,,165.2,11.1,,,15.8,107.5,134.6,153.6,,,11.6,,128.8,,,,136.7,,44,90.2,56.3,96.2,54.5,26.9,43.3,,,,42.3,,37.2,27.7,138.2,,,57.4,103.2,118.2,,,,45.7,181.6,17.8,,,,,61.6,,,,,,,16.4,51.7,51.8,44.1,,55,,,,,,93.9,,110.3,9.8,12.8,64.4,,115.2,120.2,62.6,,123.8,33.2,41.2,104.4,115.6,,,,114.1,26.2,54.8,16.6,17.5,,48.4,,69.2,44.2,52.6,,,,194.6,,100.3,70.6,,,,,
1974,185.7,,132.2,,,,,,55.2,,,15.3,21.5,,27.5,40,145.8,33.6,,16.7,60.4,146.5,,159.2,130.1,,72.1,92.5,,,24.7,136.1,147.9,,114.5,15,87.3,,,127.7,,127,,59.6,65.4,,60.8,138.4,79.5,141.7,42.7,141,,26.1,,,,,,10.9,,28.9,77.3,,,,,,,85.4,149,96.2,,125.8,,143.2,,,,,,,,,42.8,10.7,,12.7,,,,120.4,,18.8,114.1,,24,,,,,105.1,183.9,,54.5,146.8,,,,,87.6,,34.3,,10.9,,,,,133.3,100.1,109.8,68.2,17.5,,24.8,22.5,38.9,10.6,54.9,64.5,84,88.2,38,,42.8,,,,,,,,,,45.1,120.8,177.7,76.4,,17.5,,,,,,14.9,,,97.6,185.1,36,144.6,184,20.1,52.9,,102.3,54,,67.5,,,,,,,,45.8,,,,111.7,178.9,110.4,64.5,,161.6,10.7,,,15.4,103.9,135,148.7,,,11,,121.3,,,,134.6,,42.1,87.7,55.6,93.7,54.5,25.5,39.5,,,,40,,36.2,26.7,141.7,,,57.8,97.2,115.2,,,,42.7,178.9,15.9,,,,,57.9,,90.7,,,,,16.1,50.7,50.4,39.9,,56.1,,,,,,93.4,,106,9.3,12,61.5,,111.6,118,60,,121.2,31.7,40.4,98.9,112,,,,115.6,25.5,50.3,16,16.7,,49.1,,66.7,43.1,51.9,,,,187.2,,97.9,70.6,,,,,
1975,181.7,,127.8,,,,,,53.2,,,14.4,19.8,,27.3,36.9,144.5,31.7,,15.8,58.4,142.7,,154.2,126.7,,68.8,90,,,24.1,132.1,148.2,176.2,113.9,14.2,81.7,,,125.9,,126.4,,54.1,62,,58.2,135.3,77.5,140.1,38.1,135.2,,24.8,,,,,,10.2,,25.4,74.8,,,,,,,82.1,143.8,93.6,,123.3,,143.2,,,,,,,,,42.1,10.1,,12.3,,,,118.1,56.2,17.7,111.4,,23.3,,,,,102.1,181.4,,54.4,143.5,,,,,84.3,,32.6,,10.4,,,,,130.5,97.2,104.5,65.5,16.9,,22.4,20.5,37.8,10,52.8,63.4,81.6,87.4,36.5,,40.5,87.3,,,,,,,,,44.4,117.1,174.5,72.4,,17.7,,,,,,14.1,,,99.1,179.4,34.2,137.2,180.3,19,52.2,,101.5,48.5,,65.6,,,,,,,,44.7,,,,109.1,177.8,108.1,64.7,,158.2,10.3,,,14.9,99.8,134.8,144,,,10.5,,114,,,,132.6,,40.5,85.3,54.8,91.4,54.4,24.6,36,,,,37.8,,35,25.8,145,,,58.1,91.8,111.8,,,,39.7,176.4,14.3,,,,,54.5,,86.4,,,,,16.3,49.5,49.1,36.2,,55.9,,,,,,92.8,,101.5,8.7,11.2,58.8,,108.3,115.7,57.5,,118.7,30.2,39.4,93.4,108.3,,,60.8,117.5,24.9,46.1,15.4,15.9,,49.4,,64.4,41.9,51.1,,76.9,,179.6,,96.1,70.6,,,,,
1976,177.6,,123.1,,,,,,50.6,70.8,,13.5,18.1,,27.1,34.3,142.9,30,,14.9,56.5,138.6,,149.3,123.4,,65.6,87.6,,,23.4,128,147.7,164.9,113.7,13.3,76.9,,,124.1,,125.9,,47.7,58.6,,55.4,132.1,75.7,138.4,33,129.6,,23.1,,,,,,9.6,130,22.3,72.3,,,,,,,78.8,138,90.7,,121,,143.2,,,,,,,,,41.2,9.4,,11.9,,,,115.6,54.7,16.5,108.7,,22.3,,,,,99.1,178.8,,54.2,140.2,,,,,81.1,,29.5,,9.9,,,,,127.4,94.5,99,62.9,16.1,,20.2,18.8,36.7,9.4,50.7,62.4,79.2,86.6,35.1,,38.2,85.2,,,,,,,,,43.6,113,171.5,68.7,,17.7,,,,,,13.4,,,100.4,173.5,32.4,130.3,176.3,18,51.7,,100.2,43.7,,63.7,,,,,,,,43.5,,,,106.3,176.8,106,64.9,,154.7,9.9,,,14.4,95.4,134,139.5,,,9.9,,106.8,,,,130.7,,39,83,53.9,89.3,54.4,23.8,32.6,,,,35.9,,33.1,25.1,147.3,,,58.3,86.6,108,,,,36.5,174.1,13.1,,,,,51.4,,82.3,,,,,16.4,48,47.9,33,,54.3,,,,,,92.2,,97.3,8.3,10.4,56.2,,105.5,113.5,55.1,,116.2,29,38.5,88,104.5,,,58.6,119.7,24.4,42.2,14.7,15.2,,48.7,,62.1,40.7,50.3,,72.8,,171.6,,95.1,70.5,,,,,
1977,173.6,,118.3,,,,,,47.4,68.2,,12.6,16.6,,26.7,32,141,28.3,,14.2,54.6,134.8,,144.7,120.1,,62.5,85.1,,,22.6,123.8,146.1,153.8,113.2,12.5,72.9,,,122.5,,125.2,,41.1,55.4,,52.7,128.8,74,136.7,28.1,124.3,,20.8,,,,,,9.2,126.6,19.8,70,,,,,,,75.7,131.9,87.7,,118.9,,143.1,,,,,,,,,40,8.7,,11.5,,,,113.3,53.3,15.5,106,,21.2,,,,,96,176,,53.9,136.9,,,,,77.9,,26.4,,9.3,,,,,124.2,92,93.3,60.6,15.3,,18.6,17.3,35.8,8.8,48.7,61.4,76.6,86.1,33.8,,36,83.2,,,,,,,,,42.7,108.7,168.9,65.3,,17.6,,,,,,12.7,,,101.7,167.6,30.5,123.8,172.2,17.2,51.3,,98.5,39.7,,61.7,,,,,,,,42.4,,,,103.3,175.9,103.9,65,,151,9.6,,,13.9,90.8,132.6,135.4,,,9.3,,99.7,,,,129,,37.8,81,53,87.5,54.2,23.1,29.5,,,,34.2,,31.3,24.5,147.2,,,58.5,81.7,104.3,,,,33.5,171.9,12.5,,,,,48.5,,78.4,,,,,15.9,46.1,46.6,30.3,,51.7,,,,,,91.6,,93.4,7.9,9.8,53.7,,103.4,111.2,52.9,,113.7,27.8,37.5,82.7,100.7,104.9,,56.6,122,24,38.5,14.1,14.5,,46.5,,59.7,39.4,49.4,,69,,163.3,,94.8,70.3,,,,,
1978,169.4,75.7,113.2,,,,,,44,65.8,,11.9,15.5,,26.2,30,138.7,26.7,,13.5,52.9,131.4,,140.1,117.1,,59.4,82.5,,,21.7,120.1,143,141.4,112.4,11.7,69.5,,,121,,124.7,,35.3,52.6,,49.9,125.4,72.2,134.9,24.1,119.9,,18.7,,,,,,8.8,123.4,17.8,67.8,,,,,,,72.8,125.8,84.5,,117,,142.8,,,,,,,,,38.6,8.1,,11,,,78.8,111.1,51.8,14.4,103.7,,19.9,,,,,93.1,173.1,,53.6,133.7,,,,,74.8,,24.2,,8.8,,,,,120.7,89.5,87.5,58.4,14.2,,17.2,16.1,34.8,8.3,46.7,60.3,74.1,85.8,32.5,,33.9,81,143.4,,,,,,,,41.8,104.2,166.3,62.3,,17.2,,,,,,12.2,,,102.8,161.2,28.8,117.6,168.2,16.4,50.8,,96.5,36.7,,59.6,,,,,,,,41.3,,117.9,,100,175.3,101.7,64.9,,147.2,9.3,,,13.5,86.1,131.1,131.8,,,8.8,,92.4,,,,127.3,,36.8,79,52,86,54,22.4,26.8,,,,32.6,,30.2,24,143.6,,,58.6,77,100.7,,,,30.6,170,12.3,,,,,45.9,,74.7,,,,,14.8,44.2,45.2,28.2,,48.4,,,,,,91.1,,89.8,7.6,9.2,51.3,,101.9,109.3,50.8,,111.3,26.6,36.5,77.7,96.9,101.4,,54.8,123.8,23.6,35.1,13.4,13.8,,43.3,,57.3,38,48.4,,65.4,,155,,95,69.9,,,,,
1979,165.1,70.2,107.7,,,,,,40.6,63.5,,11.3,14.6,,25.8,28.2,136.1,25.2,,12.8,51.2,128.7,,135.5,114.2,,56.6,79.7,,,20.7,116.9,138.7,128.4,110.9,11,67,,,119.7,,124,,31,50.1,,47.2,121.8,70.6,133.3,21.4,116.2,,17.4,,20.7,,,,8.5,120.1,16.2,65.7,,,,,,,70,119.8,81.1,,115.4,,142.2,,,,,,,,,37.1,7.6,,10.6,,,76.4,109,50.4,13.5,102,,18.6,,,,,90.1,170.2,,53.2,130.5,,,,,71.7,,22.8,,8.2,,,,,117.5,87.2,81.8,56.3,13,,16.1,15.1,33.9,7.8,44.9,59.1,71.6,85.6,31.1,,31.8,78.8,139.9,,,,,,15.2,,40.7,99.8,164,59.5,,16.7,,,,,,11.7,,,103.8,155.3,27,112,164.5,15.7,50.3,,94.4,34.3,,57.4,,,,,,,,40.4,,114.2,,96.8,174.7,99.7,64.6,,143.4,9,,,13.1,81.6,129.8,128.9,,,8.4,,85.4,,,,125.7,,35.9,77.2,50.9,84.5,53.6,21.8,24.6,,,,31.1,,29.5,23.6,136.7,,,58.9,72.7,97.5,,,,27.8,167.9,12.2,,,,,43.6,,71.2,,,,175.3,13.6,42,43.6,26.5,,44.9,,,,,,90.5,,86.3,7.3,8.8,49.1,,101.1,107.7,48.8,,109,25.6,35.5,73.1,93.1,98,,53.2,125.1,23.1,32,12.7,13.2,,39.4,95.9,54.7,36.7,47.5,,62,,146.9,,95.3,69,,,,,
