 Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe
1970,11126123,2135479,14550034,27292,24276,6776381,67098,122398374,23973058,2525065,59063,12507000,7467086,5180025,169354,212605,65047770,238848,9040000,9655549,122182,2912340,55000,298301,4505778,3760527,695597,95326793,9803,129583,8489574,5624600,3455606,6994848,6527635,21324000,270198,4900059,9144,1828709,99133296,3643549,121197,9563865,818315000,,22061215,230054,1364812,20009935,1848866,5242395,4411000,8715123,144739,613621,9858071,,14410400,4928757,159659,71073,4503114,1247052966,1116105178,1289258962,1101678966,,,6072527,35046273,3668595,306515,1811878,1360076,28415077,287416205,314288628,737948178,351363928,,,442062266,39083,520529,4606307,153859672,52035095,,110495,590118,447285,4119900,78169289,8596983,28560,8792806,46400,94426,,83877,5621792,4219770,711827,704934,4708642,208415064,876786721,,,2716659,3959000,10337910,2368641004,204438,2861878186,158588589,334648593,493237182,553578513,114834780,28514010,9917983,2957250,55425,2974000,53821850,1875381,104345000,1718913,12757245,11252492,51178,32240827,1219000,746767,2959900,2688428,1340215315,245013878,287361389,275222756,,2359164,308486373,2297389,1033050,1416529,2133526,21265,3139689,2808966620,211385069,,1177647344,,339171,246195,1720800,6576305,4603723,10803978,115768,5949045,302650,20395,,1148908,826000,,52029861,61431,127942543,139083819,127942543,,,2597581551,3044000,23484,1278825,512407,16000008,9161534,26381431,780384,6496,11997929,13038526,,112000,2810700,2398096,4510479,55981400,226431000,13127,3875763,895979621,723852,,11107495,1152036,58090759,11480,1519299,2527586,2474106,13341069,35804729,32664300,8680431,840843453,241027706,2718000,109514,,20250398,130404000,3754541,143176,19138,74253,5836389,4257505,,,,53600,2692259,2074500,,4538223,1724891,17159590,160290,3444553,22839451,712740919,712740919,,3647709,33814531,12485756,44885,104160,5450,90452,292875474,292929074,,292929074,,10281700,371273,445729,8042801,6180877,6350541,,2930079,13605529,36884913,605125,2115522,84369,945993,5060397,34876267,2195173,5633,7303,9446064,47086761,235499,55663250,205052000,1419934207,2809803,12110028,85389,11587761,43407287,63476,,3685753341,6193810,,4173928,5175618
1971,11417825,2187853,14960109,27916,25559,6927269,68188,125807419,24366439,2587706,59440,12937000,7500482,5284532,173863,220312,66424744,240035,9115576,9673162,124793,2976572,54600,308053,4600591,3805285,718639,97728961,9970,135726,8536395,5723381,3505391,7137749,6697745,21645535,272992,4960647,9581,1864598,99638983,3726091,122413,9745189,841105000,,22611986,234644,1406643,20562865,1898360,5479338,4435000,8869961,147389,620859,9826815,,14809521,4963126,169372,71569,4631114,1278138381,1146850519,1322942750,1132024736,,,6248835,35863382,3765166,301666,1861199,1376955,29245207,289032499,317799890,743607439,355018390,,,444400996,39537,531601,4612124,157948126,52480421,,114313,601731,460194,4163000,78312842,8827273,28869,8831036,47200,94185,,85726,5780480,4263840,726256,713684,4793155,213978472,886003787,,,2798125,4045300,10367537,2424660263,206098,2930528765,162826704,343041798,505868502,566224812,117921998,29281268,10255903,2992050,56352,3069000,54073490,1904016,105697000,1806605,12966920,11657514,52025,32882704,1247000,801142,3022300,2762265,1371933906,251573313,294620137,282265414,,2376389,316004632,2353555,1054453,1454198,2228146,21726,3179041,2877389252,216814959,,1205371089,,342421,248739,1739521,6757850,4728703,11062338,119378,6044530,302700,21313,,1182954,839230,,53718724,62108,131309640,142950993,131309640,,,2660574293,3088000,23720,1317050,515449,16347198,9375144,27024985,804157,6617,12243768,13194497,,120000,2853000,2472656,4637829,57295210,229361135,13569,3903039,906296731,748973,,11337824,1177890,59687140,11654,1563115,2592628,2535359,13704335,36851055,32783500,8643756,848964693,247376381,2762190,119424,,20461567,131155000,3868337,145439,19303,75988,6100994,4388458,,,,54695,2745779,2112900,,4557449,1738335,17476361,166212,3470324,23482813,729173562,729173562,,3734418,34224490,12747842,44495,105390,5601,91440,300682328,300737023,,300737023,,10621472,372623,458605,8098334,6213399,6570857,,3020391,14045824,37964925,620945,2185662,85518,956366,5172691,35720568,2258964,5756,7381,9720399,47433805,278808,55896223,207661000,1455203204,2818270,12477058,88022,11937805,44485908,70937,,3763393039,6300554,,4317748,5351195
1972,11721940,2243126,15377093,28492,26892,7094834,69176,129269375,24782949,2650484,59840,13177000,7544201,5385267,177839,229155,67597470,241441,9188968,9711115,127150,3043567,54200,318045,4698083,3851151,742835,100143598,10125,142073,8576200,5825173,3544047,7300152,6875228,21993631,273651,5021359,10136,1900317,100363597,3815103,123614,9922558,862030000,,23146803,239235,1450518,21120140,1947048,5737281,4457000,9025300,147710,628002,9867632,,15207771,4991596,179224,71734,4759934,1310015997,1175854628,1354794332,1160630217,,,6428711,36673642,3861931,292585,1912302,1392518,30132580,291040689,321305116,749815857,358817766,,,447253578,40009,542814,4639657,162133008,52959228,,118279,613123,474539,4205300,78688452,9083573,29104,8888628,48300,93934,,87587,5941567,4298091,741490,721948,4876560,219724282,895387452,,,2882113,4123600,10398489,2479752450,209137,2998418215,167198554,351467211,518665765,579411513,121059513,30074298,10599845,3036850,57154,3148000,54381345,1934828,107188000,1881214,13176584,12083188,52824,33505406,1278000,854604,3088200,2840841,1401978588,258215063,301984430,289406786,,2395674,323506502,2416735,1076340,1493711,2327490,22151,3213622,2944882224,222372305,,1233747550,,346600,248767,1754956,6946620,4859610,11324251,123441,6147458,302450,22341,,1217941,852053,,55478151,62298,134719523,146887303,134719523,,,2722509919,3131000,24051,1356670,521785,16695003,9595762,27680144,829441,6743,12499429,13328593,,125500,2903900,2549774,4768078,58662603,231943831,14040,3933004,916834937,776383,,11575349,1203419,61338261,11852,1607834,2659851,2596739,14072476,37925400,33055650,8630430,857032016,253914730,2817256,130534,,20657957,131909000,3983700,147321,19398,77537,6393894,4525114,,,,56029,2803031,2152400,,4596622,1752233,17800127,172598,3475022,24148137,746012374,746012374,,3824762,34604469,13002275,44326,106455,5756,92463,308775520,308831549,,308831549,,10974622,371324,472230,8122300,6260956,6800141,,3111264,14506617,39061994,638499,2247582,86347,968741,5287543,36587225,2324013,5922,7458,9988380,47783011,332760,56086065,209896000,1488762369,2821439,12828625,90823,12286439,45549483,76319,,3840269676,6407295,,4469895,5535874
1973,12027822,2296752,15804428,29014,28232,7277960,70066,132863416,25213388,2712781,60243,13380000,7586115,5483084,181488,239527,68691185,242976,9257272,9741720,129294,3113675,53800,328312,4798509,3897255,768512,102584278,10264,148560,8620967,5930483,3578490,7447285,7060603,22369408,273005,5082049,10784,1936841,101120519,3907632,124725,10096295,881940000,,23674504,244208,1496047,21689239,1995743,6013862,4478000,9176052,146912,635111,9922266,,15593351,5021861,190568,71744,4889436,1342708842,1203905200,1385052014,1188294881,,,6611916,37488067,3958323,281021,1965160,1405951,31025115,292961768,324789807,755867961,362625007,,,449960637,40486,554107,4666081,166464128,53441264,,122356,624621,489861,4242500,78936666,9350111,29278,8929086,49000,93630,,89464,6104530,4324360,756280,729916,4960657,225645580,903912425,,,2968994,4241600,10432055,2534559971,212317,3066318991,171751733,360007287,531759020,593058926,124242298,30904271,10951166,3085950,57900,3278000,54751406,1966700,108079000,1945626,13382211,12529852,53604,34103149,1308000,908520,3153800,2919287,1431051239,264937350,309446959,296643292,,2415819,331095229,2480419,1099235,1535229,2430755,22563,3244438,3012331276,228060405,,1262818780,,350450,246947,1768992,7142627,4996940,11592698,127791,6256187,302200,23439,,1253874,864819,,57280587,62290,138211123,150999871,138211123,,,2784270871,3174000,24439,1397304,530220,17049165,9827580,28347341,855380,6863,12764957,13439322,,128500,2961300,2629505,4902006,60110433,234332208,14492,3960612,926497991,806991,,11816118,1228877,63059481,12046,1653256,2729580,2659088,14447648,39026082,33357200,8633100,864105636,260725221,2878786,142241,,20835681,132669000,4102321,148889,19466,79022,6714095,4664444,,,,56892,2863739,2193000,,4641445,1766697,18127044,179349,3506008,24829693,763310561,763310561,,3918922,34988947,13252087,44316,107466,5915,93517,317177235,317234127,,317234127,,11343926,368344,486561,8136312,6307347,7037851,,3203019,14985131,40164966,654437,2303345,86988,982592,5405355,37472298,2390213,6126,7537,10256429,48127172,397174,56194527,211909000,1521452091,2822081,13173590,93765,12636969,46604726,84121,,3916243701,6523452,,4629402,5727044
1974,12321541,2350124,16247113,29488,29520,7474338,70878,136696761,25644506,2773747,60528,13723000,7599038,5579077,185099,251911,69884420,244539,9317584,9772419,131307,3187412,53400,338943,4902168,3942223,796095,105069367,10379,155109,8678745,6040041,3618585,7531424,7254468,22774087,272292,5142246,11498,1975521,101946256,3999512,125682,10267056,900350000,,24208021,250104,1542690,22280923,2045580,6305287,4497000,9315373,148351,642339,9988459,,15952078,5045297,205181,71807,5019473,1376073396,1230436635,1415128313,1214467266,,,6798206,38322022,4053713,269426,2019717,1418169,31851708,294689415,328292612,761701324,366468511,,,452475893,40955,565388,4690574,171018004,53882416,,126486,636696,505512,4279500,78967433,9604276,29427,8962022,49500,93152,,91377,6268707,4345545,768945,737847,5047944,231732881,913510969,,,3059254,4377800,10478720,2588511538,215209,3133856412,176545424,368799450,545344874,607050255,127465231,31785500,11312305,3137500,58655,3377000,55110868,1998034,110162000,2004833,13577049,12997595,54380,34692266,1339000,964834,3223900,2990965,1458706490,271738582,316987646,303970215,,2437186,338920295,2535497,1123855,1578952,2536888,22981,3273894,3079360312,233887209,,1292662974,,355050,244284,1784398,7345780,5141202,11871233,132195,6368348,301996,24531,,1290790,878042,,59088193,62476,141837810,155259901,141837810,,,2845473103,3215000,24835,1438425,538902,17416964,10076172,29027734,880785,6972,13040404,13545056,,131000,3023700,2711848,5040656,61673559,236681487,14859,3985258,937199799,841948,,12059314,1254518,64870833,12197,1699113,2802243,2723523,14832841,40149961,33678899,8754365,872196067,267918888,2939299,153704,,21029429,133432000,4226799,150221,19562,80670,7059334,4802348,,,,57937,2927468,2229800,,4689623,1776132,18456078,186332,3627504,25519604,781140577,781140577,,4017075,35373335,13501986,44331,108532,6078,94568,325914096,325972033,,325972033,,11732958,365099,501512,8159955,6341405,7283177,,3296095,15477294,41259536,664223,2356622,87609,997053,5526764,38370241,2457382,6346,7616,10533716,48455122,471364,56229974,213854000,1552810129,2824069,13525094,96796,12994025,47661773,89941,,3992871281,6661566,,4794754,5920943
1975,12590286,2404831,16709099,29932,30705,7682479,71609,140843298,26066975,2832757,60657,13893000,7578903,5674137,188882,266543,71305923,246034,9367000,9800700,133260,3265165,53000,349982,5009257,3985103,825840,107612100,10476,161671,8720742,6154545,3671494,7522593,7457362,23209000,272423,5201705,12244,2017372,102862489,4087948,126415,10435534,916395000,,24756973,257290,1590039,22902319,2097407,6608609,4514000,9438442,149129,649755,10058620,,16274740,5059862,224183,72094,5149935,1410093757,1254532835,1442241325,1238240441,,,6987391,39187702,4147525,259747,2075965,1429352,32566821,296244715,331816171,767332578,370345370,,,454865483,41407,576595,4711440,175837838,54252574,,130619,649716,521070,4311200,78673554,9831407,29578,9046541,49600,92448,,93352,6433728,4364514,778470,745841,5140357,237979218,922573384,,,3153261,4461600,10540525,2640675903,217979,3200230100,181619647,377934550,559554197,621301720,130724115,32730554,11684589,3189550,59478,3455000,55441001,2027737,111940000,2062918,13756789,13486629,55169,35280725,1369000,1024940,3292400,3051577,1484121802,278616831,324590837,311383650,,2456130,347093126,2575690,1150635,1625013,2645139,23432,3301652,3145167184,239859140,,1323320387,,358950,241628,1803010,7556026,5292808,12162369,136519,6482278,304222,25576,,1328686,892000,,60872399,63144,145642454,159722643,145642454,,,2905308044,3251000,25197,1479651,546487,17803698,10344494,29721967,904839,7068,13325814,13666335,,132500,3083100,2796746,5184811,63373572,239235000,15117,4007313,947366074,882044,,12306778,1280559,66787901,12278,1745205,2878156,2790962,15229947,41295124,34015199,9093470,879650582,275565267,2994000,164413,,21293583,134200000,4359092,151387,19735,82607,7428703,4936209,,,,59292,2993876,2262600,,4739105,1793581,18789042,193445,3880320,26212405,799553306,799553306,,4119438,35757900,13755161,44276,109769,6291,95611,335005587,335064879,,335064879,,12144135,362654,517024,8192437,6338632,7535714,,3390935,15980301,42334954,664984,2410446,88348,1011490,5652476,39277211,2525361,6548,7677,10827147,48758987,554324,56225800,215973000,1581987657,2830172,13892638,99872,13360987,48729392,94484,,4067740568,6830692,,4964831,6115370
1976,12840299,2458526,17190239,30321,31777,7900997,72285,145332378,26477152,2889579,60586,14033000,7565525,5768724,192902,283752,72999136,247444,9411000,9818227,135147,3347173,53200,361455,5119833,4025265,857855,110213082,10543,168224,8758599,6274037,3739659,7402873,7669445,23518000,273652,5260062,13022,2062405,103770134,4172230,126902,10601836,930685000,,25323406,265953,1637941,23559071,2151497,6922982,4530000,9544271,149399,657534,10125939,,16554746,5072596,248556,72642,5280723,1444719518,1276763432,1466464716,1260190650,,,7179399,40089032,4239675,252194,2133723,1439576,33146891,297573002,335494688,772838318,374380988,,,457001001,41848,587520,4725664,180955166,54541493,,134748,663770,536409,4342400,78336950,10023472,29742,9188150,49700,91437,,95385,6599214,4381601,784156,754101,5238245,244394102,930171314,,,3251158,4518000,10598677,2691718260,220154,3266159737,186993690,387447787,574441477,635771734,134010690,33737768,12068168,3238050,60428,3533000,55718260,2055085,112771000,2120069,13920105,13996704,55977,35848523,1400000,1089209,3358700,3098973,1508004795,285566670,332247800,318876360,,2470989,355653610,2598354,1179723,1672300,2754696,23926,3328664,3210476025,245986989,,1354785257,,360731,239085,1825552,7773449,5454705,12468893,140665,6596773,305774,26552,,1367563,906507,,62623763,64386,149628962,164407528,149628962,,,2964489036,3284000,25523,1520865,552562,18210754,10632932,30428034,927503,7150,13621110,13774037,,134000,3110500,2884155,5334918,65226229,241606200,15234,4026152,956010403,927439,,12553340,1306931,68813220,12285,1791453,2957339,2861581,15639901,42461193,34356300,9355810,885529196,283715621,3043854,173836,,21551634,135147000,4499509,152390,19980,84885,7818613,5064674,,,,60504,3062956,2293300,,4789507,1820249,19120333,200640,4289469,26904349,818560436,818560436,,4224529,36137812,14012817,44148,111208,6530,96641,344461837,344522341,,344522341,,12578407,361364,533214,8222286,6302504,7794662,,3487644,16493305,43386841,654947,2464455,89254,1025658,5781796,40189511,2594311,6723,7749,11139833,49036456,646943,56211968,218035000,1609703779,2841429,14279120,103028,13739142,49808071,96166,,4140647339,7034868,,5139030,6308300
1977,13067538,2513546,17690184,30689,32771,8130988,72875,150133054,26878565,2944379,60366,14192000,7568430,5863134,197111,303175,74925896,248784,9463000,9830358,136989,3433439,53400,373324,5233677,4063191,891926,112867867,10591,174773,8804183,6398935,3821194,7194279,7890969,23796000,275767,5317542,13841,2110457,104589313,4253989,127183,10766419,943455000,,25905127,275900,1686524,24247550,2207725,7248828,4532000,9634680,149459,665528,10186755,,16796578,5088419,277479,73411,5411865,1480010065,1297394581,1489361661,1280579539,,,7374234,41026477,4329964,246677,2193068,1450211,33622390,298738608,339114223,778094845,378335273,,,458888174,42275,598259,4738902,186328587,54764462,,138864,678774,551817,4372100,78159814,10189890,29902,9308479,49400,90184,,97477,6765516,4398484,786754,762424,5341419,250981876,937990304,,,3352835,4583700,10648031,2741668827,221799,3331644562,192650981,397324754,589975735,650485030,137322118,34810723,12460914,3282200,61443,3613000,55955411,2080538,113863000,2176135,14070681,14528293,56810,36411795,1430000,1157033,3423900,3135842,1530338921,292584153,339956419,326446030,,2485073,364581154,2606221,1210799,1720489,2865637,24440,3355036,3275314891,252271835,,1387056884,,361358,236695,1851069,7998164,5627533,12790546,144736,6712401,306970,27470,,1407436,921379,,64345884,66105,153798274,169318424,153798274,,,3023043056,3312000,25809,1562209,557576,18636977,10936936,31144324,949193,7232,13926260,13856185,,136000,3120200,2973806,5490921,67215805,244088400,15251,4043205,964825121,977808,,12802730,1333618,70946231,12225,1837890,3039660,2935375,16061323,43650333,34689050,9455675,891585019,292321446,3088690,182443,,21756096,136100000,4647615,153247,20296,87434,8231604,5189539,,,,61786,3134800,2325300,,4840501,1842377,19453890,207937,4827362,27597297,838142287,838142287,,4332287,36511638,14273272,43942,112831,6778,97649,354281373,354343159,,354343159,,13034625,361043,550118,8251540,6281174,8060649,,3586499,17017670,44416010,636096,2518566,90295,1039761,5915006,41108248,2664257,6886,7816,11470867,49290905,748117,56193492,220239000,1635986172,2857105,14681459,106222,14127787,50899504,93203,,4213305195,7271872,,5317631,6501893
1978,13237734,2566266,18212326,31102,33737,8376147,73324,155183724,27277741,2997411,60103,14358000,7562305,5957929,201513,323473,77033846,250032,9525000,9839534,138965,3523938,53600,385384,5350322,4100350,927585,115577669,10662,181257,8814032,6530819,3913768,6955566,8122529,24036000,278739,5375393,14661,2162249,105304312,4335645,127390,10930783,956165000,,26502166,286634,1736099,24954655,2266154,7585914,4556000,9711392,148341,673251,10242098,,17015983,5104248,308008,74242,5543517,1516215799,1317994414,1512159741,1300959482,,,7571959,42004655,4417516,244485,2254450,1460188,34068316,299908948,342694227,783298994,382215827,,,460699315,42693,609345,4752528,191851145,54947975,,143032,694732,567831,4397700,78091820,10354499,30049,9429959,49200,89073,,99630,6933906,4421134,788495,770125,5450549,257725573,945879993,,,3458104,4667500,10684822,2792125959,223537,3398253256,198566333,407560964,606127297,665502284,140665856,35972652,12859094,3329100,62406,3690000,56155143,2105664,114898000,2234594,14215111,15082994,57662,36969185,1460000,1227601,3487100,3168843,1552623958,299670407,347735305,334099163,,2497921,373854416,2604865,1243352,1771256,2979093,24962,3379514,3341275682,258700456,,1420226130,,362007,235198,1877688,8230218,5806845,13123069,148892,6831295,310182,28405,,1448414,933499,,66039488,68222,158185098,174493349,158185098,,,3082575226,3339000,26087,1603906,562065,19081718,11248046,31872230,970258,7309,14241403,13941700,,137500,3121200,3065117,5652355,69293550,246674600,15372,4058671,973625923,1032800,,13058255,1361131,73194937,12153,1884515,3125034,3012829,16491083,44866273,34965600,9558250,897682739,301230680,3129421,192093,,21951464,137060000,4803725,154007,20660,90089,8679840,5315265,,,,62150,3209263,2353600,,4890125,1862548,19794779,215347,5417740,28298150,858277856,858277856,,4445826,36864898,14533376,43703,114546,7035,98633,364453680,364515830,,364515830,,13510421,361457,567559,8275599,6281738,8336418,,3688385,17555494,45423436,613857,2576469,91364,1054116,6054911,42039935,2734896,7053,7888,11818307,49526883,852262,56196504,222585000,1662349096,2875966,15096012,109429,14525931,52015281,95929,,4287155675,7536764,,5501445,6703182
1979,13306695,2617832,18760761,31673,34818,8641521,73528,160392488,27684534,3049105,59980,14514000,7549425,6053645,206032,342798,79236776,251177,9584000,9848382,141305,3618526,53800,397390,5469123,4138819,964166,118342626,10792,187656,8825940,6671656,4013310,6768724,8364835,24277000,282415,5435143,15444,2218575,105924838,4420716,127692,11096868,969005000,,27113512,297447,1787129,25661884,2326704,7934279,4571000,9777290,147851,680011,10292341,,17235666,5116801,336085,74925,5675931,1553703893,1338905404,1535391301,1321650189,,,7772653,43027816,4501316,247078,2318495,1468333,34590226,301099972,346252401,788525199,386070618,,,462488540,43101,621538,4764690,197374705,55130594,,147296,711533,585157,4430200,78126350,10550777,30177,9548258,49600,88568,,101844,7106145,4457078,792462,776254,5566266,264602415,954142946,,,3566665,4929700,10704152,2843527329,225735,3466364397,204695751,418141317,622837068,680915804,144053518,37252659,13257799,3373750,63151,3786000,56317749,2132690,115870000,2299655,14362417,15662852,58506,37534236,1491000,1299683,3552000,3207328,1575117475,306827996,355593111,341845707,,2505953,383429856,2602566,1276663,1826881,3096729,25447,3397842,3408720998,265253926,,1454422088,,362856,235479,1902719,8469672,5986332,13460201,153386,6956579,313342,29418,,1490603,949888,,67709689,70550,162829871,180000521,162829871,,,3143467072,3366000,26395,1646291,566888,19543347,11554979,32613888,991226,7397,14566691,14038270,,138500,3109000,3157355,5818506,71391290,249385800,15862,4072517,982546160,1091853,,13332553,1390032,75567682,12124,1931389,3213360,3094482,16924753,46113995,35247217,9661265,904034683,310230861,3168088,205313,,22090488,138027000,4968074,154760,21030,92649,9179621,5448110,,,,62686,3286179,2383500,,4938973,1882599,20157728,222897,5953615,29017049,878933031,878933031,,4569423,37191330,14788607,43457,116290,7303,99590,374972295,375034981,,375034981,,14002303,362125,585344,8293678,6294365,8625690,,3794420,18109884,46412307,595872,2642846,92300,1069202,6205212,42993991,2805818,7264,7962,12178544,49751257,952040,56246951,225055000,1689044984,2896023,15516862,112580,14931739,53169673,96183,,4362863944,7821552,,5691749,6921790
